#{"t_start": 1745335780.5234213, "env_id": "None"}
r,l,t
-10155.0,85,3.332144
-21161.0,87,4.315967
-12796.0,84,9.02401
-9127.0,86,10.89745
-7553.0,87,12.336972
-8736.0,84,13.280813
-8504.0,86,14.802668
-8494.0,85,16.373827
-16255.0,86,17.272614
-9203.0,89,18.24011
-14009.0,90,19.941541
-9594.0,86,20.873175
-8626.0,88,21.877224
-6986.0,84,23.441378
-6519.0,89,25.545313
-6964.0,85,27.378596
-8063.0,85,28.338147
-5381.0,88,29.922961
-5873.0,89,30.886546
-5707.0,84,31.740198
-5326.0,83,33.24349
-7012.0,87,35.357329
-6702.0,86,37.234697
-6203.0,89,38.499816
-5888.0,85,40.004034
-5113.0,87,40.975247
-4336.0,85,41.94602
-5713.0,86,43.790498
-5025.0,86,44.849814
-5126.0,89,45.822152
-6770.0,85,50.704877
-6992.0,84,52.254791
-4894.0,90,53.27623
-5368.0,89,55.852099
-4778.0,85,57.435022
-5103.0,86,58.375059
-6240.0,84,59.681481
-6540.0,85,60.593047
-7725.0,86,63.142468
-5101.0,83,64.084395
-5666.0,86,64.995495
-5320.0,83,66.593886
-4453.0,85,67.550287
-6471.0,85,68.461607
-5231.0,85,69.367907
-5953.0,85,70.913451
-5557.0,86,71.843929
-4296.0,85,72.728954
-5441.0,86,74.31178
-5730.0,85,75.554712
-4451.0,85,76.728158
-5731.0,86,77.614387
-5220.0,85,79.148463
-4375.0,80,80.363397
-3679.0,81,81.20099
-4747.0,82,84.303088
-4404.0,85,85.967311
-5554.0,82,91.17407
-3757.0,83,92.079404
-4415.0,86,93.634197
-4939.0,85,94.547195
-5743.0,87,95.531428
-4704.0,83,96.441646
-4707.0,83,97.99471
-4844.0,83,98.918686
-3799.0,85,99.826956
-4371.0,84,101.366908
-3593.0,86,102.324708
-3834.0,84,103.233282
-4747.0,88,104.17282
-4088.0,84,106.138364
-4529.0,85,107.009365
-6113.0,85,107.914533
-3165.0,85,109.478738
-3734.0,85,110.392716
-3721.0,86,113.588839
-4495.0,86,114.491153
-4698.0,83,116.037399
-2758.0,83,116.92385
-4264.0,85,117.838948
-3883.0,83,119.309497
-3571.0,83,120.185177
-3860.0,82,121.376257
-4197.0,83,122.602335
-4039.0,82,124.131754
-3927.0,84,125.02616
-3450.0,84,126.009223
-3128.0,84,127.230708
-3363.0,84,128.802419
-3561.0,86,129.732268
-4191.0,82,133.482769
-3560.0,85,135.075135
-4252.0,86,135.985188
-3385.0,83,137.233783
-3617.0,85,138.129335
-3838.0,83,139.644539
-3791.0,82,140.541661
-4202.0,82,141.408128
-4679.0,85,143.246133
-3292.0,85,144.152424
-3970.0,86,145.11558
-4454.0,84,146.1009
-3033.0,82,147.661197
-3217.0,83,148.599669
-3434.0,85,149.552742
-4165.0,83,153.463846
-4871.0,83,154.882123
-3387.0,82,156.556753
-3855.0,83,158.187238
-3321.0,85,160.283986
-3862.0,85,161.190396
-4183.0,86,162.163738
-3427.0,85,163.100166
-5053.0,84,164.658667
-3987.0,82,165.548448
-4215.0,86,166.481979
-3855.0,80,169.491372
-4419.0,85,170.530988
-7740.0,87,171.474812
-3801.0,87,172.383536
-3500.0,85,173.964662
-4364.0,83,174.844368
-3813.0,83,175.756451
-3803.0,83,177.308252
-3907.0,85,178.244339
-4074.0,83,179.459224
-4194.0,80,180.312557
-3764.0,83,181.885237
-3686.0,82,182.731006
-3163.0,86,187.48369
-3621.0,84,188.999003
-3457.0,84,189.877062
-3238.0,84,190.766853
-4507.0,86,191.667083
-3076.0,85,193.242679
-3675.0,86,194.161859
-3554.0,83,195.482342
-4690.0,84,196.445054
-4073.0,84,197.956463
-3376.0,86,199.795595
-4223.0,85,200.763212
-4422.0,86,202.296131
-3604.0,84,203.768485
-3730.0,89,204.853306
-3100.0,86,205.790938
-3702.0,85,207.339688
-3590.0,86,208.293416
-4151.0,85,209.281428
-3111.0,86,210.88623
-4442.0,85,214.355558
-2710.0,88,215.487176
-3964.0,84,218.997467
-3462.0,82,220.621898
-2805.0,86,221.614796
-3975.0,83,222.518714
-3842.0,86,224.211018
-3392.0,82,225.101001
-3934.0,86,226.013872
-3458.0,83,226.891607
-2979.0,83,228.488407
-3028.0,86,229.519412
-2840.0,83,230.577654
-3441.0,84,232.286794
-3579.0,82,235.794693
-4073.0,81,236.650058
-3096.0,80,237.865832
-3140.0,85,239.470547
-2909.0,82,240.420426
-2934.0,83,241.41917
-3675.0,83,242.384558
-3071.0,83,243.9771
-2926.0,86,245.084145
-2979.0,88,246.029909
-3165.0,83,247.580458
-4851.0,83,250.416235
-3457.0,84,251.484866
-4436.0,84,252.507835
-2823.0,85,254.054384
-4620.0,85,255.001291
-3054.0,83,255.930614
-3893.0,83,257.484993
-3352.0,86,258.459378
-3902.0,82,260.332453
-3553.0,83,261.756336
-2821.0,85,263.319603
-3579.0,83,264.280266
-4145.0,86,265.269811
-3525.0,82,266.81733
-3066.0,83,267.762004
-3758.0,83,269.215148
-6721.0,83,270.193224
-3440.0,82,272.271299
-3107.0,82,273.197491
-3186.0,83,274.129301
-3162.0,82,275.054267
-3390.0,82,276.647402
-4417.0,80,277.623158
-3592.0,85,278.588917
-3348.0,80,280.213979
-3381.0,82,281.494662
-3539.0,85,282.468434
-3011.0,84,283.393744
-3370.0,82,285.380338
-3851.0,85,287.069663
-3412.0,84,288.013218
-3145.0,85,288.916379
-3417.0,84,290.579901
-3241.0,84,291.612936
-2984.0,86,292.631737
-2970.0,84,294.634661
-3477.0,85,295.603814
-3481.0,84,296.834164
-2960.0,83,297.799091
-4523.0,88,299.416173
-3560.0,83,301.189015
-3077.0,86,302.176943
-3015.0,86,304.05835
-3034.0,83,304.923561
-3423.0,86,305.877775
-2913.0,86,308.476613
-2721.0,85,310.088651
-2569.0,83,311.044609
-3241.0,83,316.303609
-2799.0,84,318.716709
-3394.0,83,319.706147
-4011.0,84,320.648514
-3158.0,88,321.908524
-3608.0,83,323.431317
-3100.0,85,324.316638
-2776.0,82,325.337979
-2469.0,86,326.937861
-3073.0,85,327.871197
-2807.0,82,328.839736
-3439.0,84,329.780435
-2298.0,85,331.378189
-3190.0,85,333.113426
-2837.0,84,334.063377
-3476.0,84,335.663016
-3858.0,85,336.630217
-2936.0,84,337.589875
-3731.0,85,338.547159
-6317.0,83,340.574449
-2931.0,82,341.520518
-2674.0,83,342.465827
-2735.0,86,343.427727
-3220.0,85,345.023252
-5583.0,85,346.433722
-3724.0,86,347.512702
-6405.0,86,349.099438
-3795.0,86,350.576731
-3830.0,82,352.109793
-3139.0,84,353.068466
-3007.0,83,354.657362
-3716.0,85,356.181135
-3206.0,87,357.160282
-2591.0,85,358.828808
-3694.0,82,359.706398
-2894.0,85,360.711491
-3079.0,84,361.594578
-4799.0,83,363.187108
-2904.0,86,364.131266
-3419.0,83,366.940831
-3277.0,86,368.550253
-2998.0,83,369.478978
-2696.0,84,370.378034
-2599.0,85,371.374733
-3053.0,84,372.933716
-2698.0,86,373.864382
-2453.0,86,374.790308
-3105.0,85,377.031441
-2605.0,84,377.977338
-3230.0,85,378.866372
-3218.0,86,379.839635
-2845.0,86,381.37591
-3245.0,87,382.466292
-2655.0,86,383.460755
-2584.0,86,390.436329
-2325.0,86,391.381592
-3511.0,86,392.41924
-2514.0,88,393.39724
-2782.0,85,394.997752
-2556.0,84,395.920944
-3261.0,87,396.921813
-3243.0,86,399.108165
-2809.0,85,400.006567
-2815.0,85,400.928275
-2670.0,85,401.915095
-3001.0,86,403.498563
-2383.0,84,404.486754
-3157.0,85,405.925954
-2612.0,86,407.548139
-2582.0,85,408.46181
-2834.0,84,409.426822
-2596.0,86,411.08849
-2868.0,86,412.722588
-2371.0,86,414.100526
-2559.0,85,415.077014
-2552.0,83,416.010929
-3082.0,87,418.73979
-2396.0,86,419.635989
-2780.0,86,420.583492
-2824.0,84,422.154769
-3488.0,85,423.501336
-3893.0,82,425.257781
-3419.0,86,426.202593
-4886.0,85,428.189034
-3443.0,85,429.130716
-3393.0,83,430.062004
-6815.0,88,431.749664
-3116.0,84,432.696971
-2904.0,83,433.600077
-2407.0,85,434.939839
-2414.0,83,438.00072
-4795.0,82,439.929999
-3169.0,84,440.86271
-2805.0,86,442.530225
-3883.0,82,443.899738
-2607.0,85,444.76767
-2400.0,88,445.749303
-3043.0,85,448.604846
-2778.0,87,449.622282
-3019.0,84,450.523457
-3484.0,85,452.113208
-2376.0,91,453.10807
-2684.0,87,454.395262
-2989.0,87,455.822842
-4789.0,89,457.851164
-4802.0,83,459.472544
-3010.0,89,460.565251
-2639.0,88,462.089787
-2920.0,87,463.024399
-2805.0,86,464.8095
-2375.0,85,465.690498
-2670.0,84,467.135184
-2441.0,86,468.494543
-3989.0,87,469.450279
-3201.0,88,471.025065
-9182.0,85,471.986908
-2736.0,88,472.983643
-2748.0,86,473.948531
-4285.0,84,475.563716
-3579.0,84,476.49175
-2923.0,87,477.78148
-3231.0,88,479.393192
-2392.0,87,480.958931
-2765.0,89,481.942269
-2490.0,88,483.536233
-2923.0,87,484.486676
-2339.0,86,485.399331
-2039.0,86,486.364798
-2285.0,86,488.925938
-2229.0,86,489.842432
-2961.0,88,490.749619
-3392.0,86,492.313306
-2628.0,88,493.275668
-2587.0,87,494.151116
-2581.0,86,495.109657
-2515.0,84,497.071706
-2565.0,89,498.050892
-2583.0,88,499.514619
-2770.0,86,501.091043
-2617.0,86,502.045274
-2655.0,82,502.901827
-2472.0,86,503.772722
-3418.0,86,505.32162
-2587.0,87,506.289504
-2321.0,84,507.200813
-2597.0,86,508.759145
-3207.0,87,509.74321
-2531.0,86,511.033755
-2789.0,88,511.976572
-3201.0,86,513.576199
-2293.0,84,514.482944
-2564.0,86,515.370304
-2717.0,88,517.345172
-3685.0,86,518.853911
-2925.0,87,519.820516
-2878.0,87,520.763475
-2549.0,86,522.30593
-6646.0,86,523.318001
-2952.0,87,524.256166
-3431.0,88,525.898291
-8641.0,86,526.86344
-3473.0,84,527.739884
-6025.0,82,529.748508
-4961.0,88,531.321846
-6311.0,91,532.365999
-4088.0,86,533.344824
-5371.0,83,534.956579
-3578.0,83,535.876286
-5759.0,83,536.789567
-4691.0,85,537.816504
-3647.0,88,539.444666
-5669.0,88,540.41953
-4792.0,88,541.380134
-4141.0,86,543.062896
-4126.0,86,545.256782
-2567.0,88,546.234378
-3427.0,89,547.645058
-2944.0,85,549.197217
-2497.0,86,551.410401
-3730.0,87,552.343559
-2530.0,89,553.974056
-2750.0,89,554.931375
-2979.0,85,555.841461
-3055.0,89,556.795562
-2786.0,85,558.370631
-2365.0,89,559.739042
-2592.0,88,560.752657
-2663.0,85,562.261719
-2807.0,88,563.512072
-3408.0,87,564.7512
-2432.0,85,566.245878
-2756.0,85,567.155875
-2503.0,88,568.080087
-2612.0,86,568.999379
-2465.0,86,571.545159
-2549.0,85,572.493825
-2399.0,86,573.478136
-2283.0,88,575.060201
-2320.0,84,576.030037
-2279.0,83,576.8957
-2596.0,84,577.784443
-2901.0,86,579.363404
-3401.0,83,580.68652
-2112.0,83,581.609239
-2171.0,86,582.638694
-3400.0,88,586.795615
-2717.0,87,587.713325
-2857.0,84,588.625387
-2366.0,86,590.418267
-2268.0,88,591.39797
-3173.0,82,592.287332
-2402.0,83,593.591239
-3106.0,85,595.166494
-2342.0,86,596.979715
-3515.0,88,597.987974
-2348.0,85,599.615358
-2595.0,86,600.612773
-2468.0,86,601.540868
-2394.0,85,602.473875
-2872.0,89,604.18388
-2925.0,88,605.179851
-2307.0,85,606.151276
-2249.0,83,607.669685
-3460.0,88,608.702684
-3452.0,85,609.641171
-4156.0,83,610.555912
-2413.0,86,612.151695
-2334.0,86,613.110366
-2491.0,83,613.9733
-2823.0,83,616.239438
-2253.0,85,617.740814
-2825.0,88,618.748495
-2277.0,88,619.709038
-2891.0,87,621.373845
-2710.0,87,622.337276
-2309.0,88,623.421027
-2257.0,85,625.023167
-2468.0,85,625.918263
-2556.0,85,626.953761
-2120.0,88,628.585107
-2427.0,86,630.065614
-2472.0,85,631.098335
-2729.0,87,632.058293
-2286.0,84,633.612137
-2798.0,86,634.541919
-2373.0,85,635.907205
-2494.0,84,637.494465
-2359.0,84,639.060972
-2329.0,84,639.959184
-2339.0,84,640.881686
-2181.0,87,642.517957
-2396.0,83,643.466625
-2711.0,84,644.728727
-2302.0,82,645.577323
-2733.0,82,647.174637
-3546.0,85,648.059131
-2397.0,85,649.018218
-2346.0,82,650.557242
-2369.0,86,651.453425
-2493.0,83,652.358549
-3057.0,85,653.340225
-3463.0,87,655.026281
-4200.0,83,655.993353
-2540.0,85,656.911938
-2316.0,82,658.520686
-2431.0,86,659.45451
-2816.0,84,660.683372
-2223.0,86,661.942456
-2662.0,83,663.499943
-2616.0,82,664.402033
-2076.0,84,666.21701
-2546.0,85,667.844326
-2649.0,83,668.791699
-3082.0,85,670.002513
-3358.0,85,670.932765
-2808.0,85,672.861773
-2628.0,85,673.851226
-2765.0,86,674.766242
-3584.0,86,677.450573
-2206.0,85,690.57692
-2554.0,83,691.510203
-2832.0,86,692.451288
-2859.0,87,694.062778
-2300.0,86,694.974138
-2974.0,86,698.325656
-2850.0,83,699.897367
-2474.0,85,711.693247
-2692.0,86,712.65204
-2369.0,83,713.561177
-2435.0,87,715.126405
-2232.0,84,725.097299
-2756.0,86,731.439013
-2550.0,86,735.930605
-3602.0,87,737.563294
-2750.0,85,739.250677
-3527.0,83,743.408943
-2127.0,86,744.910384
-2519.0,86,745.869074
-2612.0,86,746.794432
-3719.0,88,747.787555
-2944.0,87,750.76038
-2441.0,88,751.833444
-2973.0,87,752.916467
-3097.0,85,756.168549
-2783.0,86,757.123985
-2586.0,83,758.069888
-2573.0,83,759.008744
-2441.0,87,760.615456
-2797.0,85,762.110801
-2915.0,83,768.84183
-3250.0,86,770.42127
-2302.0,87,773.20243
-2456.0,87,774.850355
-2698.0,89,776.689225
-2821.0,85,781.965599
-2512.0,86,783.271677
-2720.0,87,784.226337
-2648.0,84,786.961756
-2647.0,83,799.534252
-2342.0,88,803.714733
-3281.0,86,804.687948
