#{"t_start": 1745335780.4644186, "env_id": "None"}
r,l,t
-17217.0,84,3.37579
-8357.0,83,4.300665
-14345.0,85,9.034621
-8753.0,86,10.908271
-10900.0,86,12.338531
-10144.0,89,13.34103
-12834.0,91,15.555154
-7838.0,85,16.467629
-12622.0,90,17.437158
-9069.0,84,18.35088
-7155.0,85,19.98617
-8819.0,88,20.941744
-10627.0,88,21.949489
-9830.0,85,23.517173
-6942.0,86,25.591022
-8157.0,89,27.469556
-8504.0,88,28.443234
-4572.0,83,29.997382
-8361.0,87,30.934832
-5763.0,85,31.799692
-6450.0,86,33.335429
-5975.0,86,35.433046
-8081.0,85,37.300895
-5978.0,91,38.582083
-6906.0,85,40.093177
-6310.0,87,41.073849
-6541.0,83,42.013904
-6800.0,86,43.859546
-8048.0,91,44.968168
-7805.0,91,45.957364
-4899.0,88,50.854348
-5548.0,86,52.430282
-6776.0,87,53.443841
-8006.0,85,55.948994
-5511.0,86,57.556335
-4533.0,86,58.505172
-4960.0,86,59.827904
-6132.0,85,60.725922
-4669.0,85,63.293658
-6069.0,88,64.260199
-4755.0,86,65.16825
-5175.0,84,66.742747
-5590.0,88,67.729145
-5728.0,85,68.664811
-4370.0,85,69.533323
-6516.0,88,71.154026
-5678.0,83,72.010361
-5250.0,83,72.892453
-5946.0,84,74.488781
-4734.0,89,75.73494
-3901.0,85,76.897119
-4368.0,85,77.80805
-4221.0,86,79.703702
-4596.0,83,80.558989
-4062.0,83,83.057691
-4512.0,85,85.225286
-3709.0,84,86.244503
-4411.0,82,91.413989
-4714.0,85,92.362693
-4033.0,86,93.928569
-3631.0,83,94.849591
-5222.0,85,95.786894
-4105.0,85,97.363405
-4432.0,86,98.291293
-5268.0,86,99.260716
-4050.0,83,100.120184
-6611.0,87,101.735012
-4490.0,85,102.677017
-4577.0,83,103.554532
-5112.0,85,105.095355
-4222.0,88,106.425346
-4017.0,84,107.341768
-4629.0,84,108.22926
-3886.0,85,109.783138
-4204.0,82,112.906609
-4269.0,84,113.824115
-4209.0,86,114.739303
-3612.0,84,116.284598
-3805.0,81,117.186206
-4667.0,85,118.042008
-4003.0,83,119.548388
-3927.0,86,120.446104
-3779.0,82,122.029537
-3675.0,85,122.907522
-3632.0,85,124.470396
-3328.0,83,125.369492
-2892.0,85,126.398057
-3789.0,83,128.224837
-3664.0,86,129.173062
-3888.0,83,132.952319
-3621.0,85,133.874655
-3365.0,84,135.444475
-3660.0,84,136.66507
-4178.0,83,137.604611
-4277.0,87,139.122889
-4242.0,88,140.055407
-3786.0,82,140.956496
-3623.0,85,142.121416
-3581.0,86,143.65842
-3969.0,83,144.621138
-3836.0,82,145.595843
-3758.0,81,147.153143
-4469.0,80,148.017092
-3596.0,83,148.981856
-3876.0,82,149.927009
-4134.0,82,153.78456
-3102.0,87,155.986131
