#{"t_start": 1745335780.4602458, "env_id": "None"}
r,l,t
-9532.0,90,3.458672
-14757.0,88,4.43622
-13798.0,89,9.214447
-13594.0,86,11.10019
-10712.0,89,12.536679
-10417.0,91,14.118756
-8849.0,87,15.757446
-7708.0,87,16.650084
-23946.0,85,17.582662
-10627.0,84,18.491837
-7487.0,88,20.170355
-8355.0,87,21.107079
-8774.0,86,22.084763
-7778.0,87,23.7143
-7843.0,87,25.761264
-7908.0,87,27.641339
-9185.0,90,28.617594
-6931.0,89,30.202174
-5640.0,82,31.10534
-5401.0,86,31.986904
-6477.0,90,33.584631
-8710.0,90,35.724742
-5573.0,86,37.938131
-5646.0,90,39.514018
-5596.0,85,40.423424
-8186.0,92,41.450205
-5826.0,86,42.408355
-5594.0,85,44.267461
-7941.0,88,45.310297
-5519.0,90,50.247269
-4933.0,85,51.796442
-6173.0,84,52.728189
-5881.0,89,53.762875
-6921.0,88,56.323661
-6490.0,84,57.880556
-5717.0,86,58.826183
-6984.0,83,60.112839
-5581.0,86,61.642195
-4399.0,86,63.617821
-4738.0,83,64.494556
-4927.0,85,65.440653
-4960.0,88,67.020111
-5431.0,88,68.034442
-4598.0,88,68.996011
-5306.0,88,70.541665
-4393.0,86,71.484486
-5246.0,83,72.347839
-4939.0,83,73.239013
-3723.0,86,74.819366
-4824.0,88,76.378205
-4453.0,85,77.230552
-7324.0,85,78.786972
-4963.0,85,80.041298
-5323.0,85,80.925369
-4096.0,85,83.424596
-4533.0,83,85.636246
-3891.0,84,90.93218
-4244.0,86,91.874752
-4504.0,83,93.385185
-4442.0,83,94.284125
-4651.0,81,95.180676
-3986.0,85,96.130778
-4359.0,84,97.676303
-4304.0,87,98.643311
-4493.0,84,99.555074
-4096.0,81,100.401653
-4091.0,84,101.988771
-3794.0,82,102.883338
-3886.0,87,103.798754
-4804.0,84,105.340924
-3657.0,85,106.636336
-4911.0,84,107.548408
-4423.0,85,108.466305
-3422.0,87,110.034474
-4454.0,84,113.17343
-4159.0,84,114.079399
-4440.0,85,115.660266
-4006.0,89,116.589742
-4447.0,85,117.522351
-4272.0,88,118.430992
-4361.0,85,119.95185
-3162.0,84,120.824677
-3707.0,85,122.431105
-4478.0,86,123.987887
-4435.0,87,124.926168
-4451.0,85,125.915257
-3834.0,81,127.11223
-4390.0,86,128.694542
-3864.0,81,129.579719
-3647.0,88,133.398007
-2990.0,86,134.998497
-5441.0,84,135.890467
-3638.0,85,137.146065
-3342.0,86,138.071009
-4006.0,86,139.607453
-4206.0,83,140.513339
-3782.0,82,141.386316
-4165.0,85,143.216979
-4745.0,86,144.137409
-3807.0,84,145.081744
-3702.0,81,146.03582
-4425.0,82,147.592594
-3767.0,83,148.51905
-4115.0,85,149.480515
-4104.0,84,152.756399
-3568.0,83,154.817088
-3744.0,85,156.528613
-3070.0,83,157.472141
-3466.0,84,159.758893
-4055.0,85,161.150866
-5249.0,84,162.097682
-3742.0,82,163.001723
-4687.0,84,164.564219
-4873.0,84,165.472895
-4746.0,84,166.380315
-3534.0,83,169.416957
-3294.0,87,170.493017
-3649.0,82,171.385731
-3553.0,87,172.295762
-3472.0,86,173.876328
-3670.0,81,174.732335
-5012.0,85,175.671177
-4447.0,83,177.230852
-3439.0,80,178.102037
-3732.0,85,179.331934
-4133.0,83,180.235777
-3761.0,80,181.754756
-3291.0,87,182.663097
-3426.0,86,187.433657
-3888.0,82,188.257315
-3863.0,85,189.815139
-4179.0,84,190.699977
-2924.0,87,191.604776
-4129.0,86,193.198054
-5567.0,85,194.101909
-4303.0,86,195.452083
-4378.0,85,196.420328
-3138.0,84,197.944812
-4120.0,82,199.725419
-3626.0,86,200.713215
-3520.0,85,202.246205
-4522.0,84,203.699561
-4276.0,83,204.724061
-4377.0,86,205.655822
-4269.0,83,207.184448
-4473.0,86,208.136946
-3912.0,85,209.122221
-3033.0,83,210.694617
-3219.0,83,214.127289
-3958.0,85,215.150875
-3515.0,83,216.128145
-3124.0,83,220.358902
-3354.0,86,221.352247
-3746.0,85,222.295446
-3123.0,83,223.947453
-2839.0,85,224.877361
-3086.0,85,225.740155
-4180.0,85,226.681746
-3351.0,85,228.288399
-3989.0,82,229.2605
-3267.0,85,230.356987
-3213.0,84,231.396825
-3904.0,86,235.636802
-3597.0,85,236.526136
-3750.0,85,237.804058
-3153.0,83,239.391465
-3318.0,85,240.378157
-4677.0,83,241.382804
-3697.0,84,242.347056
-3004.0,84,243.948001
-3240.0,81,245.002867
-4654.0,82,245.876353
-3437.0,82,247.401558
-3767.0,82,250.230691
-3028.0,85,251.313136
-3573.0,86,252.366021
-3644.0,84,253.891265
-4092.0,83,254.826589
-3885.0,84,255.763669
-4111.0,83,256.705314
-4452.0,82,258.165774
-4330.0,83,260.143408
-3026.0,85,261.061866
-3631.0,86,263.161016
-3235.0,85,264.120847
-3918.0,85,265.111385
-3881.0,83,266.045899
-4680.0,85,267.635274
-3679.0,82,268.568986
-6108.0,83,270.055155
-4004.0,81,272.132748
-3516.0,83,273.046931
-3389.0,85,274.018796
-4221.0,86,274.995042
-3161.0,87,276.642409
-3909.0,83,277.652557
-3384.0,82,278.579817
-4670.0,85,280.264322
-4128.0,83,281.557754
-3005.0,83,282.50687
-3901.0,81,283.396995
-4065.0,83,285.393761
-3081.0,82,287.04742
-3574.0,83,287.994383
-4776.0,84,288.898458
-3268.0,85,290.55528
-3332.0,83,291.576933
-3491.0,85,292.589337
-3389.0,84,294.580169
-3610.0,84,295.545328
-4696.0,83,296.511775
-3376.0,84,297.739115
-3191.0,82,299.280716
-2682.0,85,301.070072
-3655.0,83,302.041177
-4064.0,85,303.658851
-3249.0,86,304.808832
-2656.0,88,305.786264
-3167.0,85,308.373231
-2941.0,86,310.01096
-3818.0,83,310.970654
-2741.0,84,316.21616
-2982.0,85,318.637375
-2672.0,86,319.66703
-2866.0,83,320.604993
-3401.0,83,321.805044
-3689.0,82,323.326072
-2387.0,84,324.221156
-2842.0,89,325.28849
-3312.0,85,326.882321
-4591.0,84,327.806759
-2494.0,87,328.82071
-3059.0,84,329.762926
-2704.0,84,331.354067
