#{"t_start": 1745335780.5760734, "env_id": "None"}
r,l,t
-10340.0,88,3.320959
-13036.0,86,4.28255
-11210.0,87,9.035876
-18804.0,87,10.928495
-11284.0,86,12.329927
-8458.0,88,13.313638
-20383.0,86,15.49292
-8627.0,83,16.373814
-14100.0,85,17.279164
-6431.0,86,18.226462
-9342.0,86,19.875023
-8662.0,85,20.803102
-9573.0,88,21.805042
-10084.0,86,23.389719
-5833.0,84,25.439778
-6877.0,86,27.294505
-9471.0,88,28.275156
-7542.0,85,29.824198
-6427.0,86,30.735307
-6980.0,91,31.687384
-7337.0,88,33.245047
-6827.0,90,35.387858
-6436.0,84,37.242412
-5572.0,85,38.460407
-5111.0,91,40.044862
-6584.0,88,41.028124
-7160.0,87,41.992065
-5018.0,84,43.832898
-5890.0,85,44.874551
-4965.0,85,45.809442
-6139.0,85,50.674022
-4463.0,88,52.281378
-5326.0,86,53.265744
-4872.0,83,55.787012
-6416.0,86,57.373377
-5494.0,84,58.295543
-6139.0,90,59.656164
-5160.0,86,60.574922
-6325.0,85,63.127572
-4543.0,86,64.070658
-4538.0,83,64.973078
-5832.0,87,66.585817
-4874.0,85,67.541735
-9135.0,85,68.462647
-5607.0,83,69.348483
-5479.0,85,70.904119
-5176.0,87,71.824148
-3680.0,85,72.723392
-6204.0,86,74.306659
-5121.0,85,75.551228
-5207.0,85,76.707721
-6429.0,86,77.611492
-5413.0,86,79.514627
-4735.0,82,80.369022
-5661.0,85,81.256821
-4388.0,85,85.042894
-4981.0,86,86.082363
-3845.0,86,91.274913
-4238.0,86,92.229705
-4736.0,87,93.808216
-4819.0,87,94.770546
-4599.0,86,95.722611
-4912.0,85,97.295493
-4667.0,86,98.228375
-3896.0,81,99.13861
-5296.0,82,99.99063
-5134.0,83,101.561411
-4747.0,83,102.476396
-5154.0,85,103.390173
-4210.0,86,104.93097
-3696.0,85,106.244741
-3282.0,88,107.192949
-4496.0,88,108.116857
-4012.0,85,109.670826
-4545.0,84,112.815917
-4133.0,85,113.745112
-4962.0,86,115.330947
-3718.0,88,116.250809
-3654.0,85,117.183945
-3402.0,82,118.001656
-5255.0,84,119.518044
-4610.0,85,120.413027
-3856.0,83,122.002546
-3901.0,85,122.896976
-3932.0,83,124.428888
-4430.0,85,125.355494
-4581.0,85,126.383309
-3259.0,83,128.199099
-3453.0,87,129.13918
-4335.0,82,132.916448
-4665.0,85,133.848317
-3758.0,83,135.395964
-4570.0,88,136.676033
-4191.0,85,137.612663
-4132.0,83,139.09321
-3879.0,82,139.970243
-4108.0,85,140.890905
-4881.0,86,142.099811
-3642.0,81,143.575253
-3268.0,83,144.538285
-4592.0,83,145.528739
-5129.0,82,147.080046
-3879.0,83,148.00248
-3443.0,85,148.95726
-3930.0,80,149.896565
-4574.0,85,153.881413
-4047.0,83,155.941164
-4001.0,83,156.91162
-3365.0,85,158.544728
-4644.0,85,160.632605
-5219.0,86,161.573943
-4507.0,88,162.526889
-4434.0,84,164.076534
-4371.0,84,165.018765
-3578.0,82,165.93012
-4486.0,86,166.821172
-5486.0,84,169.978629
-5024.0,84,170.912942
-3976.0,85,171.810417
-3691.0,85,173.378819
-3691.0,84,174.266265
-3753.0,85,175.199878
-3588.0,86,176.087461
-4617.0,82,177.69116
-3532.0,80,178.57443
-3439.0,86,179.797315
-3181.0,84,181.316339
-3550.0,83,182.228761
-3863.0,83,186.977737
-3495.0,87,187.841195
-3748.0,83,189.382949
-4116.0,83,190.270094
-3828.0,83,191.108135
-5260.0,86,192.072219
-2880.0,88,193.648485
-3286.0,85,194.552186
-4169.0,85,195.916828
-3494.0,86,197.510975
-3546.0,85,198.4503
-3918.0,85,200.281894
-4111.0,83,201.152141
-4530.0,87,203.259634
-3577.0,86,204.343295
-3350.0,88,205.304869
-4081.0,86,206.889326
-3832.0,85,207.810188
-3952.0,86,208.792713
-3266.0,86,209.745915
-3719.0,87,213.876419
-2999.0,86,214.872721
-3949.0,88,215.966258
-4470.0,87,220.243145
-2996.0,85,221.22263
-3099.0,84,222.15056
-3343.0,85,223.832012
-3247.0,87,224.782645
-3390.0,84,225.638473
-3650.0,84,226.565463
-2895.0,86,228.185666
-3084.0,83,229.172308
-3701.0,83,230.24152
-3965.0,84,231.28151
-2926.0,87,235.532897
-3363.0,83,236.397588
-3462.0,83,237.642643
-3653.0,85,239.264621
-2875.0,83,240.226032
-4036.0,85,241.253719
-3344.0,83,242.207286
-3934.0,78,243.741499
-4318.0,80,244.773431
-3534.0,82,245.671479
-3747.0,85,247.224761
-3436.0,83,250.042511
-5232.0,83,251.108481
-3598.0,82,252.094751
-3876.0,82,253.626427
-2576.0,85,254.565457
-3997.0,82,255.483577
-3619.0,84,256.398408
-4004.0,84,257.954051
-3081.0,86,259.940834
-4041.0,85,260.870684
-3744.0,84,262.937909
-3973.0,83,263.876517
-4045.0,86,264.885073
-3910.0,84,265.850975
-4036.0,86,267.414824
-5899.0,84,268.38082
-4322.0,84,269.886469
-5031.0,82,271.966967
-3937.0,85,272.910647
-4463.0,83,273.865972
-3985.0,85,274.820811
-4786.0,81,276.409371
-3664.0,85,277.430691
-3601.0,83,278.391702
-3639.0,84,280.043013
-2911.0,84,281.356916
-3490.0,83,282.299483
-3201.0,83,283.194875
-2806.0,84,285.227789
-2825.0,84,286.899004
-2679.0,85,287.865655
-3456.0,85,288.782663
-3844.0,83,290.415896
-3005.0,83,291.43751
-3489.0,85,292.450211
-3644.0,86,294.465337
-3580.0,82,295.407318
-3297.0,82,296.361535
-3832.0,84,297.587878
-3463.0,84,299.148598
-4425.0,89,300.988032
-3954.0,83,301.957884
-3152.0,84,303.82726
-2834.0,83,304.680861
-3386.0,83,305.60126
-2431.0,85,308.186624
-3711.0,82,309.776278
-3489.0,84,310.750144
-3734.0,85,316.012743
-2646.0,87,318.45598
-3359.0,86,319.48435
-3261.0,83,320.414021
-2960.0,82,321.618109
-2530.0,85,323.158636
-3901.0,82,324.057111
-2945.0,85,325.061898
-3214.0,85,326.025632
-3563.0,83,327.56916
-2850.0,89,328.598786
-2716.0,83,329.532135
-2880.0,82,331.103014
-2785.0,85,332.823654
-2634.0,86,333.810328
-3579.0,85,334.800808
-3482.0,85,336.373977
-3486.0,87,337.375136
-3308.0,85,338.370673
-2971.0,85,340.374519
-3392.0,84,341.358621
-2508.0,82,342.289943
-2597.0,83,343.253286
-3090.0,88,344.863749
-6036.0,84,346.270483
-4109.0,84,347.271775
-4600.0,84,348.8954
-3672.0,85,350.307604
-3035.0,86,351.916033
-5252.0,83,352.843853
-2804.0,83,354.432819
-4986.0,85,355.964763
-2809.0,84,356.931633
-3651.0,82,358.525089
-3272.0,85,359.484244
-2964.0,84,360.450011
-3956.0,85,361.348166
-2646.0,83,362.94756
-2691.0,83,363.86987
-3102.0,87,366.715678
-3562.0,85,367.657758
-2891.0,85,369.276069
-2562.0,83,370.176153
-2675.0,84,371.135873
-2867.0,83,372.700231
-2677.0,88,373.642766
-3174.0,86,374.567116
-2500.0,84,376.17498
-2290.0,85,377.731593
-2590.0,83,378.639258
-3015.0,87,379.562169
-2680.0,85,381.153667
-3248.0,86,382.164816
-2826.0,84,383.16373
-2665.0,84,389.49669
-2916.0,88,391.132611
-3084.0,83,392.085228
-2700.0,83,393.049697
-2804.0,85,394.620575
-2583.0,85,395.578483
-2701.0,86,396.556122
-2263.0,87,398.102984
-2420.0,85,399.646172
-2732.0,85,400.565848
-2568.0,85,401.551795
-2722.0,84,403.131122
-2821.0,86,404.13878
-3205.0,85,405.56889
-3435.0,85,406.522215
-2875.0,85,408.087669
-3124.0,83,409.014333
-2558.0,88,409.994555
-2597.0,85,412.337008
-2621.0,85,413.739566
-2591.0,86,414.692567
-2925.0,87,415.672238
-2454.0,86,418.379881
-3144.0,86,419.308295
-2294.0,85,420.223603
-2705.0,85,421.795042
-2015.0,84,423.138091
-3392.0,86,424.932963
-2649.0,84,425.862762
-2282.0,85,427.886894
-4363.0,84,428.783723
-4707.0,85,429.736063
-3644.0,83,431.357335
-4388.0,86,432.337824
-3701.0,84,433.241179
-3669.0,85,434.582923
-3142.0,83,437.641915
-3026.0,86,439.633543
-2264.0,82,440.531544
-2810.0,84,441.546657
-3556.0,85,443.580049
-2592.0,86,444.460162
-2453.0,86,445.426786
-2414.0,86,447.431001
-3138.0,85,449.28757
-2317.0,89,450.238224
-2976.0,86,451.169806
-2615.0,86,452.789642
-3316.0,83,453.691547
-2597.0,88,455.469072
-2256.0,86,457.050732
-3271.0,83,459.081382
-2187.0,85,460.076724
-2710.0,86,461.019814
-2408.0,89,462.595064
-3058.0,86,464.378104
-2082.0,87,465.283211
-2744.0,88,466.795014
-2824.0,87,468.147134
-2792.0,86,469.079427
-3445.0,86,470.631447
-5096.0,87,471.592441
-8023.0,88,472.601158
-3823.0,88,473.600473
-5249.0,85,475.213867
-2679.0,85,476.159506
-3553.0,84,477.406975
-2918.0,86,479.008871
-2262.0,89,480.590168
-2790.0,91,481.581853
-2453.0,89,482.558755
-2296.0,86,484.156276
-2568.0,84,485.051043
-2793.0,86,486.005977
-3087.0,88,487.687416
-2763.0,88,489.533434
-2670.0,85,490.40594
-2446.0,87,491.336339
-2846.0,89,492.966904
-2974.0,86,493.826521
-2334.0,86,494.736527
-2870.0,83,496.324175
-2698.0,87,497.679488
-2496.0,86,499.121445
-3437.0,83,500.00585
-2518.0,86,501.6165
-2826.0,86,502.509188
-2690.0,86,503.380886
-2662.0,88,504.962639
-2272.0,87,505.938746
-2361.0,87,506.879611
-2410.0,86,507.771168
