#{"t_start": 1745332430.6516414, "env_id": "None"}
r,l,t
-123975.0,82,4.490442
-157685.0,84,6.875117
-142836.0,83,9.373296
-72227.0,84,12.50884
-125717.0,83,14.965415
-113709.0,80,17.359597
-75579.0,83,20.018743
-95123.0,81,22.951713
-153262.0,86,25.465679
-72115.0,83,28.00853
-80805.0,85,31.179217
-84235.0,82,34.082988
-71343.0,82,36.494561
-79919.0,82,38.82857
-69766.0,84,42.932963
-101340.0,82,45.307483
-64630.0,85,47.86304
-67565.0,83,50.201113
-84638.0,81,53.17037
-62523.0,85,58.704708
-79468.0,82,61.040646
-68897.0,84,64.060863
-104749.0,85,66.537745
-75640.0,85,68.942942
-81040.0,79,71.112555
-74672.0,82,74.799489
-71185.0,82,77.14043
-59341.0,82,79.506829
-73814.0,83,82.425977
-72592.0,81,84.709257
-90532.0,86,87.120661
-95850.0,83,89.593361
-78207.0,84,92.744032
-68175.0,84,105.913971
-54036.0,81,108.412811
-78288.0,80,111.014293
-74119.0,83,114.066882
-59692.0,82,116.481635
-68723.0,82,118.847356
-59350.0,84,121.945472
-59367.0,83,124.230841
-63153.0,80,126.471027
-63965.0,83,129.166041
-53154.0,82,132.679794
-71690.0,83,135.151899
-65013.0,82,137.429186
-52505.0,81,140.062584
-56187.0,81,143.201983
-53468.0,82,145.593901
-51395.0,82,148.02544
-57661.0,82,151.13472
-57548.0,80,153.499508
-53073.0,82,156.2326
-58075.0,82,158.678888
-55801.0,86,161.942727
-52146.0,86,164.403992
-67992.0,83,166.726456
-52662.0,80,169.733252
-52053.0,83,172.656552
-58535.0,85,175.092345
-46327.0,82,177.264938
-58103.0,79,180.239168
-58544.0,83,182.575352
-55588.0,83,184.862659
-60210.0,83,187.221091
-45478.0,81,190.069758
-50187.0,82,192.439928
-56765.0,79,195.140198
-52522.0,83,197.441927
-45576.0,81,200.707597
-49682.0,80,203.094841
-60688.0,82,205.533087
-56250.0,83,208.407624
-52121.0,79,210.610692
-56073.0,80,212.852215
-45043.0,81,215.091575
-53430.0,79,218.908003
-60552.0,80,221.083272
-50651.0,82,223.380157
-53975.0,82,225.939879
-52632.0,79,228.909523
-45658.0,80,231.233696
-41245.0,80,233.50208
-53579.0,79,236.370566
-48573.0,80,238.650864
-46359.0,81,240.871941
-50959.0,80,243.111167
-54219.0,81,246.109493
-50328.0,81,248.390524
-48683.0,80,250.667393
-49837.0,79,252.951384
-55432.0,80,255.720162
-41470.0,79,257.938744
-47789.0,81,260.304116
-45841.0,79,262.563166
-47682.0,78,265.563823
-47195.0,78,267.813129
-44144.0,79,269.953766
-46073.0,79,272.211074
-50651.0,80,275.227118
-49907.0,79,278.138312
-44333.0,80,280.402164
-43919.0,79,283.394351
-55286.0,80,285.621796
-38322.0,78,288.338659
-39938.0,79,291.020982
-47462.0,78,293.955453
-50040.0,80,296.31469
-48275.0,80,298.662761
-41895.0,78,300.978099
-41737.0,79,304.173525
-46153.0,79,306.563131
-41108.0,78,308.880209
-44591.0,79,311.197529
-42987.0,77,314.152053
-37552.0,78,316.404205
-40979.0,79,318.788961
-36506.0,79,321.100565
-46682.0,78,324.062386
-56029.0,79,326.824278
-39315.0,78,329.18224
-42663.0,78,332.129228
-42137.0,78,334.771817
-37795.0,78,337.056697
-41453.0,77,339.278536
-38708.0,77,342.305676
