#{"t_start": 1745332430.645449, "env_id": "None"}
r,l,t
-98890.0,82,4.496328
-140687.0,84,6.884388
-137032.0,86,9.47294
-68960.0,84,12.600236
-122624.0,84,15.080303
-146255.0,82,17.539165
-87481.0,84,20.218496
-128646.0,83,23.21473
-111699.0,84,25.654756
-82112.0,81,28.145724
-96225.0,81,31.224283
-117638.0,83,34.147109
-70804.0,80,36.502548
-78897.0,84,38.885406
-93501.0,83,42.970496
-81698.0,83,45.371994
-77604.0,83,47.869335
-89993.0,85,50.256459
-70882.0,85,53.316709
-76321.0,82,58.779281
-80529.0,83,61.147595
-70426.0,81,64.097749
-76263.0,82,66.489771
-58659.0,82,68.810756
-66946.0,83,71.088478
-69020.0,81,74.753477
-92531.0,84,77.148941
-63288.0,85,79.601735
-87831.0,83,82.520659
-60114.0,83,84.848002
-76141.0,83,87.188433
-81125.0,84,89.698865
-78608.0,83,92.801155
-74531.0,82,105.922603
-73827.0,84,108.512779
-73492.0,84,111.259563
-77629.0,85,114.309566
-77039.0,85,116.822714
-63183.0,83,119.257726
-70651.0,85,122.323261
-76467.0,82,124.613156
-67961.0,83,126.903399
-77555.0,80,129.536196
-74090.0,81,133.056193
-64883.0,80,135.425797
-71171.0,81,137.651473
-62444.0,84,140.400889
-53807.0,79,143.490946
-63680.0,82,145.890108
-64015.0,82,148.286813
-68060.0,85,151.492814
-52969.0,83,153.89215
-63210.0,82,156.656884
-81141.0,83,159.100523
-66385.0,81,162.254025
-54185.0,80,164.518988
-71685.0,81,166.833556
-58264.0,85,170.576905
-61831.0,81,172.835184
-47522.0,81,175.154156
-55699.0,81,177.299953
-57292.0,82,180.361019
-57581.0,82,182.665396
-46621.0,84,184.984965
-58149.0,84,187.365353
-56587.0,81,190.229442
-44943.0,80,192.517059
-54890.0,79,195.231641
-54417.0,82,197.545834
-53101.0,80,200.741269
-56827.0,82,203.183347
-55893.0,80,205.56858
-58569.0,81,208.385957
-51653.0,81,210.645798
-64012.0,84,213.000618
-62335.0,82,215.266496
-50997.0,80,219.094057
-52199.0,82,221.363232
-47134.0,80,223.609858
-54546.0,77,226.003413
-50359.0,78,228.946866
-46017.0,80,231.26708
-55076.0,79,233.50872
-61193.0,82,236.465
-51420.0,79,238.721911
-46520.0,82,240.95695
-49942.0,83,243.305672
-40836.0,78,246.195965
-44286.0,79,248.423074
-41182.0,80,250.702389
-48809.0,81,253.053035
-60424.0,80,255.81579
-39168.0,77,257.974196
-42992.0,80,260.310216
-55008.0,82,262.676211
-45169.0,78,265.655347
-41639.0,81,267.983786
-44962.0,79,270.147213
-40255.0,79,273.044107
-42426.0,79,275.395874
-48756.0,80,278.316236
-43790.0,80,280.615893
-45235.0,79,283.561558
-50922.0,77,285.743481
-42699.0,77,288.419933
-45051.0,80,291.113955
-46962.0,79,294.081599
-45201.0,78,296.383612
-44875.0,81,298.760888
-44059.0,78,301.08236
-46999.0,79,304.286863
-44900.0,79,306.672939
-43059.0,80,309.028327
-39869.0,80,311.384219
-46251.0,77,314.337758
-38248.0,78,316.602831
-40990.0,77,318.926403
-43079.0,77,321.191618
-47546.0,78,324.147624
-42905.0,80,326.922498
-42311.0,78,329.312664
-38696.0,78,332.226582
-40310.0,78,334.861719
-36629.0,79,337.184599
-41860.0,79,339.450211
-46531.0,78,342.505028
-38097.0,76,345.02246
-39489.0,77,347.199289
-40897.0,79,349.674626
-40370.0,78,352.648299
-38394.0,77,354.85871
-41530.0,79,357.171274
-43495.0,78,359.339408
-42584.0,79,362.186423
-37822.0,79,364.611284
-42207.0,77,366.804269
-49403.0,77,369.010881
-43889.0,77,371.997767
-40238.0,77,375.614597
-41007.0,76,377.804572
-49549.0,77,380.746596
-40235.0,78,383.701661
-40884.0,77,385.929491
-39431.0,77,388.363375
-37724.0,79,391.443292
-47059.0,78,393.66229
-43702.0,78,396.536511
-45202.0,76,398.926231
-41468.0,77,401.819189
-41294.0,79,404.193266
-45557.0,78,406.483069
-41480.0,77,408.792168
-44063.0,76,411.764603
-39475.0,78,414.704494
-42627.0,78,417.054222
-40104.0,77,419.258317
-37539.0,77,422.460968
-47793.0,78,424.743445
-43839.0,77,427.048481
-45887.0,77,429.313789
-37784.0,77,432.238932
-45323.0,78,434.565654
-47409.0,77,436.885915
-41990.0,80,439.565271
-42580.0,77,442.383925
-39595.0,79,445.456926
-42887.0,80,448.010958
-43705.0,79,450.677022
-41292.0,78,453.855237
-42548.0,78,456.241621
-43084.0,79,458.522594
-40136.0,77,461.439327
-44093.0,77,463.71944
-42803.0,78,466.056816
-47633.0,78,468.310563
-47332.0,79,471.309164
-45065.0,77,474.570467
-47834.0,77,476.965563
-39542.0,77,479.387594
-38788.0,79,482.50835
-41818.0,78,484.90956
-41708.0,77,487.540114
-42900.0,78,489.848565
-43968.0,80,492.931188
-40008.0,77,495.268853
-47487.0,77,497.593072
-46078.0,78,499.889321
-42496.0,77,503.722075
-40662.0,78,506.245542
-38892.0,79,508.655759
-45222.0,77,510.973032
-43010.0,78,514.21551
-53606.0,78,516.651686
-43119.0,79,519.012912
-44528.0,77,521.281928
-48742.0,78,524.452996
-42818.0,80,526.85773
-45136.0,78,529.138103
-41899.0,79,532.323707
-41758.0,79,534.657918
-39554.0,78,536.93103
-41259.0,77,539.400201
-39617.0,78,542.554089
-46265.0,78,544.958821
-41868.0,78,547.369305
-43723.0,78,549.607032
-42016.0,78,552.661455
-38248.0,79,554.964179
-43912.0,77,557.247293
-37624.0,78,559.666816
-41086.0,77,562.540751
-51611.0,79,564.910153
-38513.0,79,567.550401
-39154.0,80,570.177108
-38632.0,77,573.106739
-45249.0,78,575.572472
-47600.0,78,579.528568
-42923.0,78,582.059514
-39221.0,78,586.119658
-38457.0,79,588.542145
-41768.0,78,590.944428
-43828.0,77,594.092558
-39611.0,81,596.497628
-44528.0,79,600.13683
-39684.0,79,602.46927
-41568.0,80,605.547451
-42975.0,77,608.582715
-40108.0,78,610.771207
-44651.0,79,613.053506
-39299.0,80,615.972506
-42091.0,81,618.56819
-44841.0,78,620.81213
-52854.0,80,623.083508
-39130.0,79,626.081946
-40680.0,80,628.447446
-41894.0,79,631.074095
-41739.0,79,633.509079
-43154.0,79,636.500159
-43174.0,79,640.067113
-39116.0,79,642.65624
-39883.0,79,645.616189
-35371.0,80,648.104174
-38298.0,77,650.672359
-45998.0,78,653.021643
-38598.0,79,656.02665
-42480.0,80,658.353101
-45820.0,78,660.673444
-47676.0,77,662.963449
-42550.0,78,665.985158
-37866.0,79,668.269379
-40177.0,78,670.57548
-46365.0,77,672.778877
-43949.0,78,675.880883
-45147.0,78,678.483573
-36335.0,79,681.39665
-35713.0,78,683.663281
-40572.0,79,686.610546
-39175.0,79,688.91411
-41619.0,78,691.2637
-37794.0,78,693.635883
-38198.0,79,697.386037
-41464.0,77,700.125627
-37429.0,79,702.664244
-37433.0,77,705.568996
-36260.0,79,707.841489
-43767.0,79,710.271647
-36181.0,77,712.513861
-40946.0,77,715.691726
-49875.0,77,717.835967
-40993.0,78,720.202467
-44358.0,77,722.518847
-36122.0,77,725.721156
-37279.0,79,728.035365
-37805.0,79,730.483228
-38372.0,77,732.749525
-43601.0,77,735.668373
-38576.0,79,739.287488
-43021.0,78,741.959441
-48200.0,78,744.289618
-34832.0,78,747.308851
-45660.0,78,749.536177
-35223.0,79,751.777263
-40056.0,78,754.043512
-37514.0,78,757.006279
-35980.0,78,759.967927
-42599.0,79,762.319725
-42081.0,79,765.300986
-38491.0,79,768.263918
-38727.0,77,770.626174
-36509.0,79,772.953066
-35494.0,79,775.788835
-36373.0,78,778.152886
-33327.0,77,781.927179
-38384.0,79,784.234814
-32608.0,78,787.263743
-38250.0,78,790.124507
-41769.0,78,792.69399
-37545.0,79,794.9784
-39443.0,78,797.913607
-38751.0,79,800.250005
-39561.0,77,802.38394
-38797.0,78,804.702129
-35812.0,78,807.58352
-35443.0,79,809.838445
-40594.0,77,812.051653
-34357.0,77,814.352906
-37128.0,78,817.789628
-35698.0,77,820.078941
-42389.0,79,822.567804
-39899.0,78,824.88873
-39690.0,78,827.80786
-44166.0,78,830.06321
-42029.0,79,832.285078
-37053.0,77,835.19732
-37722.0,77,837.421481
-33211.0,79,839.713383
-39458.0,77,842.006063
-31623.0,78,844.840518
-36371.0,77,847.105504
-36742.0,77,849.924201
-37039.0,78,852.189451
-35507.0,78,855.56363
-43735.0,78,857.807516
-33848.0,79,860.038311
-36928.0,78,862.299535
-34758.0,78,865.589816
-38030.0,78,867.81161
-36671.0,79,870.148324
-36112.0,79,872.350844
-36982.0,80,875.505095
-32998.0,77,877.66962
-33395.0,80,880.607471
-38064.0,77,882.870659
-34306.0,79,885.7276
-40718.0,77,887.982333
-33018.0,79,890.355391
-39641.0,78,893.372873
-34189.0,78,895.59889
-35075.0,79,898.04247
-37947.0,78,901.974087
-38619.0,79,904.864351
-33971.0,77,907.032707
-32881.0,79,909.186493
-36609.0,80,911.681152
-34468.0,78,914.703692
-35161.0,78,916.883486
-32194.0,79,919.118424
-36711.0,80,922.870705
-32613.0,77,925.736749
-32759.0,79,929.139453
-34390.0,78,931.358131
-33987.0,78,933.612331
-34351.0,79,936.695104
-31990.0,79,939.121752
-37519.0,78,941.320034
-32498.0,79,943.534973
-36428.0,79,946.391218
-38698.0,79,948.519938
-36515.0,80,950.733807
-38719.0,79,953.642278
-34401.0,79,955.845001
-38593.0,79,958.050639
-32748.0,80,960.609888
-31841.0,79,963.448035
-35452.0,79,965.746671
-37963.0,79,968.171218
-35387.0,78,970.668795
-30763.0,78,973.624265
-34514.0,78,975.789613
-33696.0,79,978.031368
-31657.0,78,980.920312
-34757.0,80,983.855942
-37207.0,77,986.131215
-36507.0,79,988.286341
-37389.0,79,990.615544
-39974.0,80,993.505285
-41632.0,80,995.706603
-34834.0,79,998.296611
-35459.0,78,1001.140858
-34650.0,79,1003.467163
-45629.0,78,1005.733481
-33563.0,77,1008.084981
-36532.0,77,1011.07109
-42960.0,79,1013.48845
-37461.0,79,1015.799135
-43288.0,78,1018.081049
-40339.0,79,1020.951067
-39347.0,79,1023.381241
-46471.0,77,1026.036111
-35801.0,80,1028.203129
-38142.0,79,1031.064334
-38983.0,80,1033.432911
-38389.0,78,1035.535539
-34781.0,80,1037.864145
-36383.0,79,1040.706759
-39410.0,77,1042.888857
-38067.0,78,1045.250888
-36673.0,80,1048.185751
-31986.0,80,1050.378822
-41319.0,79,1052.691773
-33581.0,79,1055.54391
-36451.0,78,1058.334836
-37270.0,80,1060.61739
-34395.0,78,1062.735943
-35813.0,79,1064.848238
-34447.0,79,1067.631666
-34107.0,79,1069.9026
-37031.0,79,1071.960943
-34550.0,79,1074.092506
-33428.0,79,1076.826966
-38142.0,79,1079.027747
-31950.0,79,1081.170274
-33794.0,79,1083.330306
-39415.0,79,1086.121023
-33177.0,80,1088.938523
-35854.0,79,1091.216441
-32630.0,79,1094.037057
-37159.0,79,1097.721628
-39109.0,79,1099.972111
-35873.0,79,1102.682379
-37728.0,78,1105.96278
-37130.0,78,1108.206697
-36445.0,81,1110.470194
-39598.0,77,1112.735965
-38009.0,79,1115.552471
-35344.0,80,1118.689831
-39047.0,80,1120.89438
-40114.0,79,1123.05942
-39389.0,79,1125.674248
-33507.0,79,1127.729963
-36109.0,79,1129.878853
-45997.0,80,1132.102823
-37200.0,78,1135.218224
-39969.0,80,1137.479025
-35886.0,80,1139.657059
-35165.0,79,1142.512788
-41815.0,79,1144.692723
-38920.0,82,1147.554535
-40210.0,79,1149.620227
-34790.0,79,1152.358182
-36505.0,78,1154.482361
-31883.0,77,1156.588774
-35631.0,77,1158.740724
-33330.0,78,1161.509559
-35921.0,79,1164.038075
-37735.0,77,1166.361707
-36424.0,77,1168.463055
-35996.0,79,1171.375859
-37166.0,78,1174.101205
-36965.0,77,1176.170996
-35969.0,79,1179.328918
-36163.0,77,1182.07135
-37016.0,77,1184.25158
-37088.0,79,1186.523349
-36131.0,78,1190.000597
-34248.0,78,1192.938338
-32579.0,79,1195.219137
-36614.0,77,1197.383332
-33219.0,79,1200.228755
-34322.0,77,1202.452016
-32547.0,79,1204.692548
-33484.0,79,1207.117825
-33316.0,78,1210.289906
-33080.0,78,1212.964513
-31974.0,78,1215.072078
-33233.0,79,1217.868095
-34033.0,78,1220.670055
-35438.0,76,1222.983587
-34295.0,78,1225.147278
-32847.0,77,1227.327015
-34263.0,77,1230.439334
-32250.0,78,1232.694676
-31748.0,80,1235.200279
-34135.0,76,1237.347042
-34696.0,78,1240.160498
-35866.0,79,1242.36186
-33506.0,77,1244.821341
-32254.0,77,1246.924218
-32848.0,79,1254.938828
-34255.0,79,1257.163986
-32490.0,78,1259.704115
-31410.0,79,1262.532144
-34294.0,78,1265.336889
-36366.0,79,1267.634192
-31022.0,78,1270.049596
-33797.0,79,1273.00374
-33370.0,79,1276.042203
-34574.0,79,1278.802605
-33626.0,78,1281.012087
-31584.0,78,1284.038947
-30220.0,77,1286.304629
-33381.0,79,1288.447264
-32348.0,78,1290.797637
-35780.0,79,1293.880435
-30361.0,78,1296.128114
-34028.0,78,1298.248307
-32162.0,78,1300.412527
-33682.0,79,1303.293024
-34132.0,77,1305.70505
-34177.0,77,1311.172317
-33268.0,79,1313.375486
-31768.0,80,1316.295136
-32044.0,79,1319.276367
-33382.0,78,1321.526255
-33340.0,78,1324.390274
-31213.0,79,1326.531881
-30981.0,78,1328.73961
-33161.0,78,1330.845211
-32343.0,78,1333.588317
-34101.0,78,1335.801361
-36240.0,80,1338.455492
-33836.0,79,1340.964576
-30653.0,78,1343.921182
-32598.0,78,1346.131281
-32156.0,78,1348.284267
-34148.0,76,1350.414325
-35120.0,79,1353.992121
-30953.0,78,1356.276417
-32141.0,79,1358.449877
-31127.0,79,1360.706106
-34452.0,77,1363.8456
-35146.0,79,1366.125309
-32549.0,78,1368.846119
-33129.0,79,1371.066226
-33256.0,79,1373.880549
-32098.0,78,1376.012476
-31925.0,79,1378.224014
-37144.0,78,1381.104755
-39091.0,79,1383.423932
-33643.0,79,1385.717847
-37828.0,78,1388.23839
-32787.0,79,1391.242106
-34377.0,77,1393.70653
-33223.0,78,1395.92995
-33882.0,79,1398.257101
-33702.0,79,1401.011213
-32742.0,79,1403.277529
-31566.0,78,1405.49287
-32533.0,79,1407.847475
-33581.0,79,1410.721833
-32540.0,79,1412.898841
-31449.0,78,1415.161374
-30568.0,79,1417.631814
-29190.0,79,1420.56725
-31859.0,79,1422.687483
-32737.0,78,1424.827354
-32752.0,79,1427.799343
-32760.0,79,1429.976856
-32442.0,78,1432.182421
-33310.0,78,1434.544258
-32378.0,79,1439.140111
-31346.0,79,1441.232743
-31486.0,78,1443.599621
-34381.0,78,1445.685556
-31204.0,79,1448.574198
-31761.0,79,1450.781402
-35084.0,79,1453.000391
-30920.0,77,1455.072225
-30571.0,79,1458.127889
-29081.0,79,1461.015994
-31134.0,79,1463.295294
-35884.0,79,1465.55088
-34770.0,80,1468.406558
-32826.0,79,1471.196273
-31552.0,79,1473.465237
-33165.0,77,1475.653673
-31876.0,80,1478.546859
-31958.0,79,1480.738435
-31132.0,80,1483.010413
-33438.0,79,1485.896157
-31139.0,79,1488.18944
-34030.0,78,1490.442014
-34669.0,79,1492.713102
-32044.0,79,1495.633719
-31401.0,78,1498.72098
-31353.0,79,1501.179237
-31676.0,78,1503.843769
-34452.0,80,1506.869591
-32335.0,78,1509.646195
-33928.0,79,1511.866219
-34468.0,78,1514.056818
-31903.0,79,1517.684815
-32302.0,79,1519.946679
-30919.0,80,1522.146356
-31280.0,80,1524.382164
-33710.0,79,1527.167359
-34400.0,79,1529.388806
-31827.0,79,1531.609671
-30512.0,78,1534.458443
-29645.0,79,1536.698621
-37236.0,78,1538.946641
-32290.0,79,1541.223796
-30459.0,79,1544.104318
-30652.0,80,1547.180662
-30848.0,79,1549.465313
-33407.0,79,1551.638565
-31542.0,79,1554.471363
-34930.0,80,1556.824073
-32141.0,79,1559.330513
-31138.0,80,1561.642515
-32253.0,79,1564.64124
-32849.0,78,1566.870877
-30715.0,79,1569.028625
-30402.0,79,1571.339272
-32633.0,79,1574.268652
-34372.0,79,1577.20361
-32736.0,79,1579.601476
-31219.0,79,1582.924354
-34411.0,79,1585.200206
-33158.0,79,1587.467437
-30766.0,79,1589.649988
-33550.0,79,1592.758126
-32726.0,79,1595.008809
-31758.0,79,1597.207498
-31447.0,78,1599.824592
-35298.0,79,1602.791175
-32348.0,79,1605.168419
-31214.0,79,1607.412266
-31028.0,79,1609.703786
-34570.0,79,1612.530949
-29409.0,79,1615.129363
-30661.0,79,1617.412342
-31907.0,79,1620.081372
-32052.0,79,1622.946308
-31488.0,79,1625.203231
-32072.0,79,1627.397261
-32943.0,79,1630.720062
-34945.0,80,1632.987169
-35070.0,79,1635.492201
-37655.0,79,1637.692078
-36433.0,79,1640.780111
-30970.0,79,1643.077492
-31081.0,79,1645.394319
-31803.0,79,1647.71207
-33732.0,78,1650.898401
-32388.0,79,1653.073552
-33070.0,79,1655.957293
-32709.0,78,1658.131845
-31799.0,79,1661.050816
-31988.0,79,1663.468537
-30874.0,79,1665.715445
-32553.0,79,1667.916787
-32418.0,78,1670.679811
-29652.0,79,1673.070782
-32811.0,79,1675.26984
-31340.0,79,1678.127419
-32848.0,79,1680.30564
-35347.0,79,1682.479482
-32391.0,79,1684.80136
-30296.0,79,1687.748453
-31374.0,79,1690.051238
-33369.0,80,1694.905647
-31772.0,79,1697.217444
-31145.0,79,1700.093409
-30757.0,79,1702.230381
-31230.0,79,1704.564959
-32463.0,79,1706.865009
-31569.0,79,1709.649421
-32257.0,79,1711.83086
-30301.0,79,1714.037749
-30754.0,79,1716.874069
-34258.0,79,1719.37118
-30615.0,79,1722.289598
-31478.0,79,1724.402049
-32654.0,78,1727.199007
-32134.0,79,1730.498707
-32269.0,79,1732.73517
-32062.0,79,1735.0236
-33377.0,79,1737.935834
-32453.0,79,1740.614011
-30894.0,77,1742.74808
-33075.0,79,1745.493823
-30815.0,79,1748.512123
-30999.0,79,1753.246902
-31399.0,79,1755.418722
-31915.0,78,1761.324888
-31686.0,79,1764.16614
-30742.0,79,1766.667449
-30233.0,79,1768.896015
-32877.0,79,1771.173115
-32579.0,79,1773.900378
-34663.0,79,1776.072626
-35005.0,79,1778.697551
-30723.0,79,1781.575031
-31332.0,79,1783.804262
-33068.0,79,1785.956621
-31730.0,79,1788.250924
-30887.0,79,1791.273636
-30617.0,79,1794.548908
-31519.0,79,1798.458513
-30709.0,79,1800.70736
-31597.0,79,1803.685129
-30803.0,79,1805.948701
-34323.0,78,1808.115438
-31454.0,79,1810.386657
-30415.0,79,1814.191478
-30873.0,79,1816.359757
-31313.0,79,1818.614864
