#{"t_start": 1745332430.668104, "env_id": "None"}
r,l,t
-98926.0,84,4.534019
-74632.0,84,6.89814
-119782.0,83,9.423196
-107767.0,83,12.525072
-77682.0,83,14.975935
-171200.0,83,17.461992
-103447.0,83,20.088115
-102642.0,83,23.089508
-92840.0,83,25.534347
-183097.0,85,28.123925
-107766.0,85,31.282954
-73211.0,81,34.187624
-105732.0,83,36.603978
-96186.0,85,39.015498
-101699.0,84,43.111346
-111887.0,82,45.468134
-89823.0,83,47.969654
-94301.0,81,50.277582
-88807.0,83,53.296726
-77242.0,85,58.837981
-83376.0,82,61.198431
-73588.0,84,64.186658
-91554.0,86,66.658431
-65966.0,83,69.037148
-68112.0,84,71.30393
-84932.0,84,75.062714
-72161.0,83,77.457273
-77695.0,83,79.831847
-81574.0,82,82.732082
-70962.0,83,85.054581
-79763.0,84,87.397539
-68761.0,85,89.983111
-53043.0,80,92.988722
-61623.0,83,106.135111
-51890.0,82,108.709114
-90054.0,85,111.454821
-66573.0,85,114.506291
-70510.0,82,116.936661
-70477.0,81,119.344144
-55704.0,82,122.326622
-68927.0,82,124.622855
-72538.0,82,126.881793
-65475.0,83,129.588594
-64663.0,83,133.169521
-54201.0,80,135.532014
-59357.0,82,137.796849
-77281.0,80,141.068316
-56054.0,83,143.651102
-58837.0,86,146.148113
-63149.0,80,148.574999
-57926.0,79,151.536319
-50278.0,83,153.919844
-48234.0,81,156.662904
-43503.0,81,159.04309
-49038.0,80,162.156105
-67112.0,83,164.525596
-51612.0,81,166.842113
-52854.0,83,170.525356
-66939.0,80,172.755702
-52605.0,83,175.131477
-53896.0,85,177.412567
-51344.0,83,180.454311
-57181.0,82,182.75727
-70579.0,81,185.025037
-51721.0,82,187.341333
-60200.0,80,190.17404
-46113.0,83,192.559776
-54159.0,80,195.284911
-47090.0,79,197.523352
-43266.0,80,200.722618
-50682.0,82,203.16145
-49344.0,82,205.60746
-48276.0,82,208.443164
-57703.0,79,210.652899
-61442.0,80,212.892479
-51259.0,79,215.07682
-49485.0,78,218.862391
-49128.0,80,221.037976
-55567.0,83,223.36497
-47071.0,79,225.827866
-49850.0,79,228.778338
-47457.0,82,231.188611
-48890.0,79,233.425063
-50986.0,82,236.382693
-50903.0,81,238.701172
-54160.0,82,240.934992
-43280.0,80,243.178117
-50029.0,82,246.202573
-52949.0,82,248.516873
-52054.0,82,250.839598
-48751.0,79,253.135526
-44632.0,78,255.856297
