#{"t_start": 1745384477.883541, "env_id": "None"}
r,l,t
-43438.0,83,7.140695
-19492.0,85,9.817696
-38252.0,88,13.452266
-44330.0,83,19.142225
-23645.0,84,25.459031
-20151.0,83,32.980744
-33769.0,85,40.366638
-44445.0,86,47.864751
-24219.0,85,52.456999
-13356.0,83,60.850947
-28529.0,86,67.105131
-25430.0,83,73.876643
-14516.0,82,80.657414
-32652.0,85,84.338563
-33946.0,84,88.771379
-17513.0,83,92.594144
-14508.0,83,98.466995
-15702.0,83,106.234187
-17254.0,83,111.523008
-18579.0,85,117.335204
-12363.0,83,125.887941
-20902.0,87,132.047593
-16053.0,82,136.434945
-17122.0,84,142.656138
-15962.0,82,146.656911
-8054.0,82,148.597113
-12310.0,84,150.337089
-11241.0,84,152.545105
-16740.0,85,155.102975
-12421.0,80,157.072981
-9031.0,80,159.432202
-15629.0,85,164.64797
-11828.0,85,170.6669
-10117.0,82,176.610946
-9921.0,83,182.088968
-10463.0,85,188.558801
-9953.0,81,192.632584
-9302.0,85,196.825618
-7200.0,86,200.309588
-8665.0,83,203.225597
-10618.0,84,206.757349
-10765.0,83,209.982555
-16801.0,85,214.272034
-9447.0,82,219.386635
-10691.0,80,225.048542
-8446.0,83,230.695633
-8303.0,82,236.52336
-5861.0,82,241.407265
-10050.0,83,245.419864
-7656.0,81,251.7474
-7555.0,80,256.082427
-5963.0,82,260.309569
-6556.0,82,264.210939
-9476.0,82,269.366142
-5816.0,80,274.481876
-5910.0,80,279.591255
-7652.0,83,284.522984
-10669.0,84,289.367298
-5882.0,81,292.108329
-7201.0,84,295.808926
-5223.0,81,303.819503
-6447.0,81,310.46099
-5935.0,82,316.11538
-5452.0,82,322.323325
-6788.0,82,327.540338
-5915.0,79,334.01552
-5815.0,81,341.74988
-5043.0,81,346.633536
-5900.0,80,351.863299
-7489.0,80,355.835073
-6980.0,83,364.758268
-6820.0,81,368.95448
-6657.0,80,378.33226
-5773.0,82,384.545643
-6449.0,81,389.959759
-5611.0,81,394.316693
-6890.0,82,400.174934
-5770.0,82,405.048237
-4725.0,80,410.568798
-7282.0,82,415.37229
-6677.0,79,418.819826
-5645.0,82,423.626532
-5664.0,81,427.132357
-5293.0,82,432.004853
-5649.0,82,436.792493
-8317.0,82,440.790947
-5245.0,81,445.115546
-6632.0,83,450.067304
-4024.0,80,455.352062
-4652.0,81,460.260331
-4627.0,79,466.901782
-5094.0,81,471.467946
-5739.0,83,477.180678
-4842.0,82,483.923489
-6059.0,80,488.973831
-5099.0,80,493.672608
-4452.0,80,498.205212
-5852.0,80,503.621387
-5900.0,79,508.593436
-5812.0,82,514.778138
-5610.0,81,522.384444
-5866.0,79,529.001509
-6197.0,82,537.843322
-5398.0,79,543.248526
-6228.0,82,547.663258
-4902.0,81,551.652932
-5454.0,80,556.315511
-5308.0,81,560.396649
-5333.0,82,564.153792
-4937.0,83,567.364974
-5324.0,80,573.230159
-5172.0,80,578.301085
-6041.0,82,583.546376
-5331.0,83,588.418538
-5658.0,85,594.534933
-5450.0,84,600.102304
-4541.0,80,605.859215
-5438.0,81,611.002353
-5754.0,81,616.324689
-5247.0,80,622.941331
-3509.0,81,628.364609
-5080.0,83,636.456602
-5072.0,83,641.972058
-4263.0,82,649.406865
-5143.0,83,658.670584
-4382.0,82,660.69088
-4873.0,79,662.477992
-4784.0,80,665.052374
-4598.0,79,667.176725
-5706.0,80,669.761648
-4292.0,79,672.317981
-4891.0,81,674.953357
-5388.0,80,677.268414
-5074.0,79,680.341826
-4715.0,81,683.858333
-5300.0,79,688.423386
-4827.0,79,694.214108
-4794.0,80,699.49869
-5105.0,79,703.10764
-4480.0,81,708.028674
-5918.0,82,711.576381
-5806.0,83,717.841058
-5346.0,80,722.794927
-5145.0,80,727.133746
-5871.0,80,731.567436
-5880.0,80,738.688395
-5608.0,81,745.304963
-4961.0,80,751.380769
-5101.0,80,758.182656
-4673.0,81,763.848928
-4543.0,80,769.801766
-6123.0,82,775.191319
-6287.0,80,781.203138
-6492.0,80,786.417934
-4251.0,80,793.558659
-5074.0,80,799.504139
-4489.0,79,802.555103
-4310.0,82,807.461389
-5911.0,82,812.169743
-5040.0,80,817.674283
-4982.0,80,824.715832
-6704.0,83,830.019268
-5153.0,80,835.62134
-6247.0,80,841.716276
-5466.0,80,848.076108
-5108.0,80,853.303892
-5310.0,78,859.150166
-6067.0,84,862.765961
-5527.0,82,866.548726
-6440.0,82,870.628292
-5478.0,80,876.287007
-5188.0,82,885.128661
-5238.0,80,891.655495
