#{"t_start": 1745384477.806329, "env_id": "None"}
r,l,t
-36449.0,85,7.252042
-31807.0,84,9.903941
-35477.0,83,13.480163
-52447.0,85,19.195903
-32982.0,85,25.524918
-21431.0,82,33.033374
-29471.0,85,40.420988
-15387.0,84,45.763558
-22584.0,84,52.471443
-31845.0,84,60.881402
-25567.0,83,67.100549
-21303.0,86,73.90543
-22830.0,83,80.695486
-22605.0,82,84.33954
-11036.0,82,88.757122
-22313.0,85,92.599875
-13538.0,83,98.478211
-22610.0,86,106.27048
-21716.0,85,111.587183
-15104.0,85,117.399372
-9842.0,85,125.979664
-14288.0,85,132.112142
-10840.0,84,136.526083
-16032.0,85,142.754906
-13748.0,85,147.443316
-12575.0,82,148.728208
-18298.0,83,150.908652
-18152.0,83,152.663978
-11580.0,85,155.218447
-11470.0,83,157.222035
-10488.0,82,159.607217
-12050.0,82,164.786514
-12498.0,82,170.771623
-10179.0,82,176.710309
-13140.0,86,182.221312
-11482.0,85,188.699408
-9138.0,82,192.780713
-8943.0,82,196.944143
-12093.0,84,200.396953
-12363.0,81,203.289437
-8330.0,85,206.834487
-10908.0,83,210.059766
-12791.0,82,213.692172
-6306.0,82,219.429008
-11784.0,86,225.167261
-9013.0,84,230.822609
-10113.0,80,236.623411
-9060.0,85,241.539507
-6617.0,81,245.530638
-8950.0,84,251.90151
-6690.0,81,256.240004
-6671.0,83,260.475425
-5921.0,83,265.211695
-6854.0,80,269.534861
-7964.0,83,274.678089
-6409.0,82,279.804102
-6040.0,83,284.729497
-8497.0,80,289.543826
-6989.0,85,292.975377
-6847.0,80,298.193379
-7113.0,80,303.984966
-7419.0,80,310.613351
-5645.0,81,316.251679
-6915.0,85,323.710705
-7172.0,80,328.053498
-6530.0,83,337.035149
-5843.0,81,341.945891
-10234.0,83,348.335646
-6963.0,78,352.410388
-5790.0,82,357.627811
-5201.0,82,364.969811
-6713.0,80,371.440634
-7326.0,79,378.52556
-6548.0,82,384.713342
-6056.0,82,390.160197
-5461.0,81,395.421211
-6380.0,82,401.774397
-6228.0,79,405.209372
-7020.0,80,410.731908
-6311.0,81,415.526965
-7852.0,80,418.98322
-6685.0,80,423.765711
-6547.0,80,428.299818
-6457.0,81,432.121056
-5906.0,83,436.922289
-6535.0,80,440.893682
-5808.0,80,445.205331
-5402.0,79,448.287651
-5364.0,82,455.4165
-4593.0,82,460.337832
-5688.0,80,466.993313
-5102.0,82,471.575643
-6863.0,82,477.27134
-4962.0,83,484.026002
-5080.0,80,489.075478
-5291.0,80,493.773496
-5836.0,81,498.31835
-5080.0,80,503.739986
-5067.0,82,508.73416
-5112.0,81,514.916162
-4947.0,80,522.509042
-5509.0,80,529.138566
-4837.0,80,537.963101
-5153.0,80,543.370384
-4421.0,79,547.752469
-6298.0,80,551.730057
-5224.0,80,556.392628
-5751.0,82,560.487583
-4860.0,79,564.204165
-4952.0,82,567.40447
-4301.0,79,573.265775
-4928.0,79,578.315159
-5437.0,79,583.528533
-5619.0,82,588.392849
-6001.0,82,593.600635
-5106.0,82,598.272943
-4552.0,82,605.800049
-4141.0,79,610.921794
-4896.0,82,616.241174
-6038.0,80,621.53
-5395.0,82,626.657388
-4956.0,82,636.390524
-5958.0,80,641.902958
-4882.0,82,647.371
-5654.0,79,657.896493
-4442.0,82,660.541426
-4706.0,80,662.336514
-5314.0,79,664.273097
-4654.0,81,666.685481
-4248.0,82,669.032603
-5598.0,80,671.615037
-5798.0,79,674.190902
-4252.0,78,677.138767
-4226.0,80,680.205332
-5067.0,81,683.740836
-5397.0,80,687.114609
-5244.0,78,691.487335
-5501.0,82,699.41421
-5235.0,81,703.064435
-5599.0,81,706.703209
-4789.0,79,711.463917
-6350.0,80,716.369756
-5545.0,80,721.263946
-4884.0,80,725.835422
-6117.0,82,730.260819
-4865.0,81,738.609274
-4989.0,82,743.63246
-4905.0,82,749.114178
-6095.0,82,756.583414
-6600.0,81,763.832182
-4835.0,82,769.781519
-5064.0,81,775.170909
-4956.0,81,779.437783
-5508.0,80,784.909339
-5882.0,80,793.528703
-6328.0,79,799.500676
-5286.0,81,802.560878
-5021.0,80,807.426283
-5019.0,80,812.13436
-5968.0,80,816.165198
-5597.0,80,822.15128
-4719.0,80,828.783223
-5612.0,80,835.571207
-5029.0,83,841.681296
