#{"t_start": 1745384477.6031694, "env_id": "None"}
r,l,t
-21748.0,81,7.400959
-98448.0,85,10.070721
-26639.0,85,13.67029
-31883.0,86,19.398553
-26499.0,84,25.719337
-25510.0,81,33.207653
-33191.0,84,40.586097
-17374.0,81,45.905604
-20527.0,83,52.579844
-17708.0,82,57.923953
-25670.0,86,67.228826
-13824.0,85,74.024361
-22141.0,85,78.932126
-19573.0,85,84.522537
-15991.0,85,88.971916
-19437.0,83,92.790712
-21191.0,82,98.650309
-17715.0,83,105.142348
-14466.0,83,111.706585
-19986.0,83,117.508518
-17482.0,85,126.076482
-28185.0,86,132.212653
-12957.0,85,136.65399
-22068.0,83,142.850121
-12693.0,82,146.210267
-17131.0,88,148.867597
-16068.0,85,150.616976
-9145.0,82,152.800721
-17974.0,83,155.333162
-10965.0,85,157.365254
-10199.0,85,159.789164
-13182.0,84,164.989703
-12489.0,84,170.998713
-12484.0,83,176.94925
-13158.0,83,182.424989
-12960.0,83,188.877512
-11801.0,82,192.964678
-11844.0,80,197.097263
-9968.0,81,200.509229
-9368.0,83,203.451816
-6472.0,83,206.955011
-10665.0,85,210.200087
-7317.0,82,213.842288
-7090.0,82,217.950378
-8587.0,82,223.139208
-7091.0,83,230.912257
-7941.0,85,236.768729
-8445.0,81,241.640929
-7894.0,83,245.652579
-9289.0,79,250.873285
-9102.0,82,255.266487
-5422.0,80,259.50457
-6306.0,82,264.421419
-8320.0,82,268.947744
-10195.0,84,274.738413
-7266.0,82,279.870679
-6637.0,83,284.803945
-8854.0,82,289.162261
-7299.0,81,292.365273
-6646.0,80,296.027064
-6004.0,82,302.808688
-7244.0,82,310.684911
-6121.0,79,316.325106
-4272.0,83,322.532071
-6902.0,80,327.064157
-5775.0,82,334.233051
-10928.0,82,341.980884
-5798.0,82,346.883308
-6722.0,82,352.130407
-5696.0,83,357.709407
-5113.0,82,365.053225
-6769.0,80,369.235232
-6162.0,81,378.626689
-6050.0,81,384.825253
-5709.0,82,390.256624
-7310.0,82,394.613875
-5554.0,79,400.445196
-5603.0,82,405.315835
-8672.0,84,410.888495
-6074.0,83,415.703829
-7450.0,81,419.17247
-5159.0,82,423.982342
-7147.0,80,428.517821
-4977.0,81,432.335702
-5021.0,84,437.150572
-5935.0,81,441.130788
-6087.0,81,445.463529
-4869.0,80,450.37952
-4878.0,78,455.631798
-6554.0,81,460.541353
-5576.0,80,467.196465
-6509.0,79,471.733523
-3503.0,80,477.422466
-5774.0,83,484.166808
-5376.0,82,489.241672
-4793.0,81,493.950757
-6763.0,80,498.483995
-6656.0,78,502.718195
-5154.0,79,508.850082
-5872.0,79,515.009702
-4756.0,79,522.57845
-4679.0,80,529.212919
-5878.0,81,536.35618
-6474.0,80,541.834125
-5583.0,80,547.854369
-4847.0,80,551.824062
-6173.0,80,556.486321
-5169.0,81,560.567452
-6267.0,81,564.324113
-5024.0,80,567.498234
-4296.0,84,573.411036
-5994.0,78,576.806939
-6226.0,80,583.667104
-5508.0,82,588.538717
-5398.0,82,593.748536
-4454.0,82,598.412841
-5672.0,80,604.419002
-6304.0,82,611.085445
-5849.0,82,616.397405
-5731.0,81,621.701455
-5394.0,80,626.804116
-4566.0,80,634.488268
-4531.0,82,642.061925
-5273.0,82,647.508414
-5541.0,81,658.070269
-5532.0,81,660.319826
-5123.0,81,662.501821
-4501.0,80,664.452216
-5797.0,80,666.855438
-4183.0,82,669.204081
-6018.0,80,671.793895
-3519.0,78,674.349951
-4959.0,79,677.305814
-5449.0,81,679.674266
-4644.0,80,683.898985
-3378.0,82,687.30523
-4768.0,79,691.690334
-4818.0,79,698.30002
-4818.0,79,703.20831
-4162.0,82,706.854696
-5580.0,82,711.654001
-5023.0,80,716.560517
-5280.0,80,721.453487
-4523.0,80,726.024957
-4836.0,79,730.419055
-5526.0,80,737.216615
-5136.0,81,743.774478
-5285.0,80,749.233336
-5373.0,80,756.676508
-5917.0,81,761.805441
-5175.0,81,767.726893
-6446.0,79,775.282001
-4994.0,80,779.482248
-5844.0,81,784.967804
-5540.0,82,790.859566
-4456.0,81,798.727841
-5211.0,80,802.650173
-4548.0,80,806.891579
-4836.0,81,812.232461
-4667.0,80,816.272485
-5091.0,80,822.25601
-4636.0,81,828.90253
-5360.0,83,835.72295
-6144.0,80,840.365699
-5083.0,81,846.553868
-4932.0,83,853.394082
-4623.0,80,857.922455
-5786.0,84,862.892147
-5881.0,80,865.453157
-4348.0,82,869.863131
-5309.0,80,874.592992
-5305.0,81,883.203254
-5888.0,79,891.149589
-7289.0,82,896.510194
-4672.0,80,901.378277
-5083.0,81,905.652873
-4528.0,80,911.292827
-5366.0,79,915.512244
-4871.0,81,921.549498
-5068.0,81,927.706466
-5680.0,82,935.354693
-6349.0,81,942.981401
-7776.0,80,951.068682
-7166.0,82,960.288618
-5837.0,80,966.245719
-6203.0,80,971.644618
-5428.0,82,980.590404
-4705.0,81,987.731652
-6916.0,81,996.824523
-5211.0,82,1002.976884
-4325.0,81,1012.810072
-5629.0,80,1017.855881
-5326.0,80,1024.566899
-4397.0,80,1030.386161
-5898.0,80,1034.374896
