#{"t_start": 1745384477.625854, "env_id": "None"}
r,l,t
-19219.0,84,7.417747
-56977.0,83,10.063743
-20601.0,81,13.606017
-23329.0,84,19.310711
-41169.0,82,25.616756
-37675.0,84,33.128325
-18779.0,81,38.768166
-25549.0,83,45.831112
-26580.0,81,52.485847
-18651.0,83,57.831328
-28927.0,85,67.128402
-17451.0,83,73.879006
-12499.0,84,78.792441
-27221.0,87,84.395829
-21274.0,83,87.574783
-17462.0,84,92.659351
-17058.0,85,98.55567
-23638.0,86,105.07773
-14326.0,86,111.683672
-12940.0,82,117.474221
-13918.0,84,126.029317
-13108.0,84,130.103463
-15175.0,88,136.616748
-21845.0,82,142.798838
-11053.0,85,146.196321
-12245.0,83,148.806
-17158.0,84,150.537321
-12478.0,83,152.721011
-15437.0,85,155.286632
-10477.0,85,157.320007
-17349.0,85,159.740513
-13003.0,84,164.946482
-9603.0,81,170.909775
-11465.0,84,176.881016
-8399.0,80,182.327418
-13475.0,82,188.231479
-10406.0,85,192.877965
-13787.0,85,197.073645
-9488.0,83,200.516054
-9871.0,85,203.461372
-8619.0,81,206.959198
-10512.0,84,210.188395
-10060.0,83,213.844242
-8682.0,85,219.610041
-9196.0,86,225.348867
-9179.0,83,230.989666
-7127.0,81,236.804063
-7791.0,81,241.674101
-6841.0,83,245.689364
-9813.0,83,252.040564
-7524.0,82,256.400022
-6373.0,82,260.61851
-6261.0,83,264.527991
-6113.0,82,269.702563
-6515.0,81,274.827156
-5964.0,82,279.950941
-7624.0,82,284.863389
-6931.0,81,289.68901
-5655.0,83,293.096677
-6312.0,80,296.098647
-6896.0,82,304.127483
-7045.0,81,310.770054
-6028.0,82,316.419142
-5147.0,80,322.606466
-5696.0,78,327.111482
-6498.0,80,334.259417
-7167.0,82,342.006989
-5588.0,83,346.915694
-5922.0,81,352.158123
-6127.0,80,357.704578
-5376.0,80,365.015966
-6634.0,80,369.197333
-6052.0,81,378.589581
-4542.0,83,384.815923
-5432.0,81,390.234244
-5787.0,82,394.591049
-6521.0,80,400.433169
-6251.0,83,405.322206
-7057.0,82,410.866743
-5143.0,80,415.643945
-6524.0,81,419.113377
-5834.0,82,423.919329
-5542.0,82,428.480882
-5222.0,84,433.562284
-6538.0,81,437.117272
-5155.0,82,441.10818
-6366.0,80,445.427616
-4891.0,82,450.368711
-4594.0,82,455.671058
-5380.0,82,460.591804
-4784.0,79,467.911601
-6991.0,79,471.773982
-5444.0,81,477.464509
-6438.0,85,484.245506
-6115.0,83,489.324045
-4771.0,81,494.033247
-5151.0,80,499.563981
-5337.0,79,503.976318
-4962.0,80,508.944835
-6246.0,83,515.156085
-5264.0,80,522.74336
-5371.0,79,532.327834
-6861.0,79,538.179253
-5922.0,79,543.570368
-4210.0,79,547.956611
-5551.0,80,551.935902
-4766.0,80,556.598378
-5256.0,79,560.654896
-5578.0,83,564.423913
-4282.0,80,567.600883
-7809.0,82,573.4877
-4862.0,79,578.543209
-5126.0,82,583.792944
-5368.0,82,588.651414
-4755.0,82,593.851682
-5020.0,80,600.261543
-5104.0,79,606.007681
-5012.0,81,611.145012
-5187.0,85,616.511141
-5814.0,82,621.815317
-5235.0,81,628.573568
-5254.0,79,636.626378
-4006.0,81,642.132077
-4656.0,79,647.585182
-5089.0,79,658.110484
-5136.0,80,660.741107
-5141.0,80,662.530037
-5101.0,81,664.487091
-4562.0,80,666.886657
-4342.0,80,669.213306
-4523.0,81,671.803965
-5805.0,81,674.405422
-6035.0,80,677.373616
-4327.0,80,680.445175
-4641.0,81,683.976364
-4703.0,80,687.348729
-4035.0,80,694.357178
-5703.0,82,699.679517
-4204.0,81,703.311267
-4588.0,80,706.940665
-5352.0,82,711.75088
-5099.0,82,716.66215
-5186.0,82,722.98338
-4354.0,80,727.32091
-5997.0,82,731.769116
-4779.0,81,738.913699
-4790.0,83,743.92141
-5064.0,79,751.600625
-4971.0,83,758.44085
-4780.0,81,764.106581
-4975.0,80,770.059479
-4880.0,80,775.431909
-4919.0,80,781.435269
-5832.0,82,786.675601
-6501.0,81,793.828258
-4528.0,80,799.77178
-4779.0,80,802.83023
-5787.0,80,807.719062
-4924.0,81,812.41412
-4964.0,79,816.457812
-5253.0,81,824.960788
-5113.0,80,830.228224
-6253.0,80,835.83742
-5054.0,81,841.938044
-5873.0,79,848.295614
-5254.0,82,853.536446
-6408.0,80,859.407305
-4509.0,79,862.970428
-4885.0,80,866.195578
-5013.0,80,869.9141
-5968.0,79,874.652351
-6895.0,82,885.289957
-5307.0,80,891.820275
-4749.0,80,896.569545
-4370.0,82,901.454966
-4633.0,80,905.721448
-4747.0,82,911.38621
-5190.0,79,916.944632
-4961.0,82,921.650273
-4679.0,81,927.813243
-4679.0,79,935.425876
-4993.0,80,943.040554
-6272.0,82,952.817864
-5276.0,80,960.328433
-6570.0,81,966.312163
-4615.0,80,971.71962
-5240.0,80,980.639602
-5938.0,83,990.069628
-5028.0,82,996.909172
-5494.0,81,1003.011858
-4945.0,82,1012.894304
-4414.0,80,1019.273159
-5163.0,82,1026.02158
-4119.0,80,1030.471791
-5615.0,80,1035.093498
-4862.0,81,1041.678381
-4592.0,79,1044.951042
-4665.0,80,1046.670392
-5350.0,81,1048.580917
-4665.0,80,1053.376563
-6233.0,80,1060.589418
-6683.0,81,1066.821389
-4807.0,80,1071.990124
-5770.0,80,1076.70407
-4586.0,79,1080.092772
-5602.0,79,1085.163175
-5266.0,80,1090.018395
-4548.0,83,1094.426189
-6440.0,80,1099.806024
-4826.0,82,1109.2529
-5435.0,81,1117.670772
-4558.0,80,1122.17924
-5720.0,80,1126.522146
-4663.0,81,1132.177609
-4901.0,79,1136.526582
-4680.0,81,1141.56612
-4814.0,80,1145.347708
-5741.0,80,1150.75579
-6422.0,82,1156.780622
-4726.0,79,1163.146293
-4656.0,80,1170.658775
-5164.0,78,1175.796616
-4044.0,83,1184.067592
-4466.0,80,1193.439871
-4388.0,80,1199.586374
-4780.0,80,1205.534228
-4440.0,79,1210.314781
-4460.0,83,1220.669251
-4277.0,77,1227.837818
-4610.0,82,1229.929475
-4370.0,81,1233.071914
-5771.0,80,1241.636636
-3958.0,80,1245.737636
-4506.0,79,1252.35035
-4952.0,80,1259.207696
-3742.0,81,1263.590036
-4383.0,79,1269.645813
-4310.0,80,1275.496851
-4203.0,78,1279.294976
-4008.0,80,1283.601271
-5104.0,81,1287.438185
-4848.0,80,1291.488282
-3404.0,79,1294.851054
-4552.0,80,1297.54069
-4634.0,82,1305.929842
-4086.0,80,1311.359981
-4527.0,80,1317.22534
-4077.0,79,1322.956648
-4847.0,81,1327.495464
-4526.0,81,1330.410935
-3841.0,79,1334.268481
-4146.0,80,1338.744729
-4421.0,82,1347.40992
-4373.0,79,1356.53295
-4285.0,80,1361.917411
-4754.0,80,1366.946948
-4498.0,81,1373.221877
-4921.0,80,1378.99441
-4784.0,81,1385.219308
-5733.0,79,1390.442959
-4927.0,82,1395.37196
-4160.0,81,1401.099501
-4620.0,79,1408.309994
-4675.0,79,1415.83563
-4621.0,79,1422.606125
-4349.0,80,1428.52793
-4327.0,79,1433.392182
-4246.0,80,1439.809389
-4410.0,79,1445.638907
-4627.0,81,1452.364897
-3655.0,82,1460.715433
-4658.0,80,1466.259264
-4267.0,80,1472.105461
-3882.0,81,1479.967502
-4887.0,80,1485.26947
-3506.0,81,1490.990581
-3548.0,79,1496.850837
-4943.0,80,1503.018817
-3686.0,80,1509.505435
-4093.0,80,1516.950317
-3232.0,78,1523.276314
-4744.0,81,1529.219877
-4280.0,80,1533.452455
-3908.0,80,1537.736239
-4432.0,80,1543.35592
-3500.0,78,1548.621995
-3776.0,80,1555.599664
-4943.0,80,1561.345968
-3692.0,79,1567.308843
-3692.0,79,1571.636368
-4953.0,79,1575.759223
-3444.0,82,1580.018419
-4778.0,82,1584.656241
-4417.0,80,1591.886901
-4231.0,81,1598.474097
-4164.0,79,1603.751037
-4243.0,79,1609.891361
-4571.0,81,1614.774352
-4059.0,81,1620.06444
-4254.0,80,1624.54483
-5120.0,78,1630.439196
-3682.0,83,1635.833474
-4137.0,80,1643.219043
-4214.0,84,1649.378155
-3854.0,80,1655.85761
-3945.0,79,1658.972406
-3920.0,80,1660.635619
-4128.0,82,1662.682167
-4670.0,79,1664.502187
-4129.0,81,1666.162235
-3905.0,82,1668.278062
-3882.0,82,1670.007479
-3903.0,80,1673.094581
-3693.0,79,1677.039015
-3362.0,79,1681.238832
-4544.0,82,1684.881318
-3552.0,79,1689.153954
-4300.0,79,1693.347348
-4503.0,78,1697.06219
-4139.0,81,1700.454111
-3993.0,80,1707.530276
-4177.0,79,1712.046843
-3959.0,82,1715.802941
-4008.0,80,1720.423232
-3855.0,80,1723.76221
-3870.0,81,1728.197984
-3344.0,80,1731.715998
-3912.0,80,1736.477274
-4468.0,79,1740.6429
-3597.0,81,1748.008325
-3692.0,80,1753.078752
-3831.0,80,1758.053937
-3916.0,80,1762.50994
-3720.0,80,1766.969806
-4281.0,79,1771.766586
-4112.0,79,1776.96784
-3601.0,80,1781.315353
-4210.0,79,1784.971674
-4389.0,79,1788.601931
-5421.0,83,1793.275144
-4033.0,79,1799.131241
-4564.0,81,1804.533274
-3722.0,79,1810.666426
-4456.0,80,1815.127437
-3851.0,79,1819.781065
-3563.0,79,1824.035124
-4092.0,80,1827.97895
-4045.0,80,1831.900779
-3845.0,79,1835.847919
-3605.0,80,1839.345564
-4238.0,80,1843.614982
-5157.0,81,1848.560856
-3566.0,80,1854.453242
-3700.0,80,1859.699912
-4049.0,79,1863.45504
-4050.0,82,1868.685983
-3589.0,82,1871.891301
-4017.0,80,1874.89743
-4296.0,80,1880.598933
-3706.0,80,1885.859622
-3811.0,80,1890.930214
-3947.0,80,1893.936456
-4664.0,81,1900.613867
-4444.0,79,1911.288533
-3630.0,82,1917.254401
-4179.0,81,1924.659064
-4292.0,80,1928.553268
-3465.0,83,1934.294615
-4076.0,80,1940.827883
-4440.0,79,1947.200566
