#{"t_start": 1745384477.6908276, "env_id": "None"}
r,l,t
-40739.0,83,7.335437
-33687.0,82,9.964249
-17454.0,81,13.515336
-22313.0,80,19.167271
-21644.0,83,25.479939
-15420.0,82,32.982446
-26204.0,83,38.643989
-29477.0,84,45.72687
-30664.0,81,52.38376
-19003.0,85,57.743129
-27189.0,83,67.028356
-17346.0,82,71.809101
-12173.0,82,78.655382
-13295.0,85,84.205107
-19864.0,84,87.406235
-16093.0,82,92.470207
-17474.0,85,97.042663
-14122.0,82,104.200896
-11962.0,83,111.424833
-13544.0,82,115.198548
-17172.0,83,123.659293
-17194.0,82,129.79796
-16496.0,83,136.273489
-10418.0,83,140.36992
-8808.0,83,145.856536
-18892.0,86,148.515078
-13636.0,81,149.734074
-17549.0,80,151.853226
-14107.0,82,154.211132
-14336.0,83,156.349105
-12659.0,86,158.619879
-10519.0,82,162.814924
-12725.0,82,167.173325
-12595.0,82,173.605023
-10591.0,82,180.365589
-10833.0,83,185.691815
-8179.0,83,191.26486
-13245.0,83,195.743142
-12205.0,84,199.156723
-9888.0,83,202.392801
-10065.0,82,205.605255
-14872.0,80,209.003964
-11841.0,85,212.162037
-11544.0,83,217.461809
-9631.0,84,221.14084
-7825.0,80,227.643996
-7809.0,81,233.331037
-7866.0,82,239.73484
-8728.0,83,244.183619
-8314.0,81,249.010052
-7556.0,82,254.185814
-7186.0,82,257.75506
-7144.0,82,262.811805
-9885.0,79,266.845687
-6210.0,82,272.967762
-5783.0,82,277.841954
-6084.0,80,281.266016
-7930.0,82,286.923863
-5814.0,80,291.100059
-7864.0,83,294.342483
-6918.0,80,300.685008
-5803.0,80,306.249349
-8297.0,82,312.752185
-7884.0,83,318.238192
-5485.0,83,325.276192
-5540.0,82,331.65283
-5845.0,82,337.470194
-7638.0,80,344.115446
-5386.0,79,349.831856
-8061.0,83,354.302788
-5535.0,80,359.957397
-6290.0,82,366.768896
-5598.0,82,374.471428
-5780.0,82,380.413293
-5835.0,81,386.645141
-6422.0,80,393.009533
-5759.0,80,397.331454
-6340.0,80,402.180697
-6735.0,82,406.481716
-5334.0,79,412.843819
-6302.0,80,416.823125
-5463.0,80,420.409698
-6182.0,83,425.604557
-7480.0,80,429.99801
-4726.0,79,433.768713
-5040.0,80,438.37811
-5438.0,85,441.966775
-5269.0,83,446.901317
-6090.0,79,453.117096
-6391.0,83,457.390904
-6261.0,80,464.221007
-4971.0,80,469.808075
-5529.0,83,472.869634
-4684.0,82,479.707857
-7127.0,82,486.142388
-6563.0,81,490.679896
-5698.0,77,495.450402
-6912.0,79,500.994611
-4738.0,79,505.990759
-6015.0,83,510.374369
-5643.0,81,517.279742
-5422.0,80,525.215162
-6097.0,80,533.829286
-6777.0,81,539.791602
-5396.0,80,545.166369
-5827.0,81,549.371207
-5538.0,80,553.180339
-5492.0,82,558.521326
-4929.0,81,563.171261
-6018.0,79,565.56476
-3977.0,80,568.681871
-5501.0,78,574.845667
-5414.0,82,580.632565
-5885.0,82,585.949617
-5151.0,80,590.602179
-5002.0,80,594.906088
-5264.0,80,602.370749
-5183.0,83,607.608915
-4895.0,83,612.803985
-6230.0,82,618.292949
-6461.0,80,623.357879
-5437.0,80,631.917645
-6082.0,82,638.460183
-4931.0,79,643.794628
-5543.0,79,649.704806
-5893.0,81,658.943138
-5500.0,81,661.252485
-4734.0,79,663.077469
-4556.0,78,665.304438
-4925.0,80,667.437069
-6397.0,80,670.024646
-5157.0,80,672.590832
-4102.0,78,675.192554
-4969.0,82,678.338879
-5266.0,79,680.605826
-5600.0,80,684.106677
-5826.0,82,688.704644
-5179.0,81,694.515966
-4368.0,82,700.846579
-5421.0,82,704.84519
-4920.0,79,708.383463
-6196.0,79,713.423467
-4191.0,81,718.11138
-4281.0,80,723.078348
-4929.0,83,727.458621
-5251.0,79,734.737635
-4558.0,80,740.461704
-4532.0,80,745.616635
-4142.0,81,751.686073
-6340.0,82,758.521099
-5788.0,80,764.16431
-5294.0,83,771.837826
-5727.0,80,776.631166
-6043.0,82,781.558909
-4768.0,79,787.467244
-5024.0,80,796.325373
-5621.0,80,800.702122
-6651.0,81,803.565214
-4698.0,80,808.616542
-5088.0,81,813.686854
-4594.0,81,817.977257
-6271.0,81,825.067832
-5383.0,82,830.369199
-6116.0,80,837.734148
-5287.0,82,844.361985
-4677.0,80,850.298198
-4967.0,78,853.642267
-4942.0,79,860.636253
-5380.0,82,863.556005
-5493.0,80,866.852964
-5328.0,82,870.938321
-5386.0,82,876.620161
-5624.0,83,885.471734
-6672.0,81,893.43199
-6128.0,80,897.823591
-5205.0,78,901.616627
-4754.0,81,907.107164
-4701.0,83,913.630131
-5827.0,81,918.23524
-4738.0,80,923.501276
-5019.0,79,930.708776
-5066.0,81,937.327475
-5672.0,80,946.209754
-5667.0,81,952.984771
-5044.0,80,962.334307
-4935.0,80,967.718714
-7386.0,82,974.286273
-5350.0,83,982.859816
-4564.0,81,992.679083
-4336.0,80,998.720987
-5663.0,80,1007.526558
-5218.0,80,1014.406949
-8491.0,80,1019.399236
-4882.0,79,1026.119459
-5394.0,80,1031.586325
-4805.0,81,1035.70041
-6111.0,78,1041.75083
-5136.0,80,1045.371815
-5546.0,81,1046.76126
-5354.0,80,1048.65958
-4897.0,82,1055.878204
-4053.0,79,1062.565379
-4790.0,80,1068.022722
-4715.0,82,1072.101862
-5294.0,80,1076.796763
-4713.0,77,1081.276924
-4635.0,79,1085.240549
-4733.0,81,1091.225598
-5696.0,83,1095.610315
-4633.0,80,1101.813168
-4486.0,81,1109.348603
-5080.0,79,1117.746389
-4321.0,80,1123.39165
-5210.0,80,1129.060029
-4438.0,81,1133.430639
-4289.0,80,1137.68453
-5191.0,78,1141.618117
-5559.0,79,1145.374121
-5817.0,82,1150.801375
-4464.0,79,1158.725765
-4716.0,81,1164.790804
-5191.0,80,1170.705492
-4400.0,79,1177.577254
-4276.0,81,1184.0965
-4301.0,81,1193.484257
-4672.0,77,1199.598346
-4355.0,83,1205.57554
-3946.0,82,1212.594649
-5275.0,80,1220.691782
-4377.0,81,1227.924887
-5350.0,79,1230.622488
-5289.0,79,1235.78073
-4430.0,80,1241.673822
-5173.0,80,1247.244653
-4257.0,83,1252.4241
-4563.0,78,1259.264978
-4586.0,80,1264.289089
-5157.0,81,1269.701978
-4879.0,79,1276.643248
-4296.0,80,1279.847107
-4802.0,80,1283.661897
-4394.0,78,1287.482691
-4950.0,82,1291.559144
-4178.0,80,1294.957569
-4273.0,79,1299.620933
-4002.0,79,1305.962264
-3553.0,79,1311.382177
-4839.0,79,1317.235813
-5541.0,82,1324.087538
-3944.0,80,1327.529468
-4100.0,81,1330.451026
-4232.0,80,1334.976981
-4512.0,80,1338.792473
-4471.0,81,1347.437279
-3708.0,80,1356.584731
-5183.0,80,1363.520764
-4219.0,81,1368.123137
-4214.0,83,1373.305972
-4087.0,80,1379.076835
-4491.0,80,1385.281307
-4233.0,81,1391.559567
-3917.0,78,1396.525695
-3939.0,80,1401.123836
-5066.0,79,1408.332299
-4570.0,80,1415.886007
-4400.0,82,1422.688551
-4200.0,79,1429.241569
-4111.0,77,1433.420695
-4926.0,80,1441.400434
-4005.0,79,1447.25876
-3786.0,80,1452.404236
-4655.0,79,1460.705612
-4380.0,80,1466.245639
-4525.0,80,1474.123019
-3829.0,80,1479.957639
-4532.0,79,1485.251412
-4117.0,80,1490.960818
-4649.0,80,1496.820083
-4662.0,80,1504.823602
-4249.0,79,1509.475871
-3690.0,82,1516.943054
-4661.0,78,1523.260013
-4534.0,80,1529.18131
-3965.0,80,1534.628845
-5379.0,82,1537.736822
-3623.0,78,1543.336288
-4368.0,80,1548.623317
-4817.0,80,1555.603405
-4609.0,80,1563.146951
-5119.0,79,1567.300977
-3591.0,80,1571.649368
-4354.0,81,1575.778349
-4485.0,79,1580.020478
-4716.0,81,1587.164451
-4349.0,80,1594.943348
-4268.0,80,1598.451499
-4167.0,80,1605.171421
-4545.0,79,1609.869076
-4645.0,81,1614.777566
-4932.0,81,1620.054282
-3629.0,79,1624.525884
-4337.0,79,1630.445609
-4556.0,80,1635.794754
-4148.0,79,1643.16662
-4121.0,80,1649.283688
-3404.0,80,1655.754854
-3693.0,82,1658.906948
-4942.0,82,1660.58862
-4068.0,80,1662.616477
-4260.0,79,1664.437217
-4863.0,79,1666.073053
-3647.0,81,1667.559586
-4012.0,80,1669.887619
-3375.0,79,1672.96279
-3771.0,79,1676.902992
-4596.0,81,1681.129814
-4709.0,81,1684.773001
-4541.0,83,1689.080941
-4058.0,79,1693.271122
-4057.0,80,1697.008484
-4355.0,79,1700.375045
-4870.0,82,1707.480696
-4598.0,81,1712.010967
-3754.0,80,1715.751585
-4484.0,79,1720.358665
-3355.0,80,1723.69633
-4153.0,79,1728.102311
-4438.0,79,1731.620343
-4407.0,79,1736.365431
-4047.0,80,1740.545686
-3783.0,81,1747.911408
-3694.0,79,1752.968146
-4329.0,82,1757.966224
-4392.0,80,1761.502736
-3996.0,79,1766.879135
-4228.0,81,1771.688047
-4177.0,80,1776.901857
-3885.0,82,1781.273028
-3069.0,78,1784.920385
-3650.0,80,1788.555185
-4569.0,79,1793.18625
-3967.0,81,1799.06689
-3853.0,79,1804.450172
-3995.0,80,1810.588045
-4014.0,81,1815.062476
-4478.0,82,1819.751826
-4050.0,80,1824.008479
-3489.0,78,1828.828267
-4230.0,78,1831.835164
-4296.0,79,1835.783148
-3312.0,79,1839.271545
-4986.0,80,1843.540946
-4056.0,79,1848.461776
-3097.0,80,1854.363746
-3931.0,79,1857.726752
-4111.0,80,1863.352408
-3842.0,78,1867.901181
-4609.0,78,1871.09231
-3548.0,80,1874.709905
-5962.0,79,1880.435059
-5094.0,79,1884.493486
-4361.0,83,1889.418827
-3770.0,80,1893.770411
-3641.0,82,1900.446007
-4182.0,81,1907.627012
-4596.0,80,1917.094708
-4389.0,80,1924.501561
-4316.0,80,1928.376667
-4303.0,82,1934.129235
-3665.0,80,1940.64376
-4166.0,79,1945.350949
-4247.0,80,1952.966266
